2012/02/24 14:12:39 - Connecting to AWS region us-west-2.
2012/02/24 14:12:39 - Calculating new unique cluster name for request 155.
2012/02/24 14:12:40 - Creating new cluster name, Thor-3WZ6.
2012/02/24 14:12:40 - Creating Thor-3WZ6 security group.
2012/02/24 14:12:43 - Creating Thor-3WZ6 key pair.
2012/02/24 14:12:44 - Launching 11 m1.large nodes using ami-94b33ea4.
2012/02/24 14:12:45 - Reservation ID r-905419a0 created.
2012/02/24 14:12:45 - Waiting for 11 of 11 nodes to launch.
2012/02/24 14:12:53 - Waiting for 11 of 11 nodes to launch.
2012/02/24 14:13:01 - Waiting for 11 of 11 nodes to launch.
2012/02/24 14:13:09 - Waiting for 10 of 11 nodes to launch.
2012/02/24 14:13:17 - Waiting for 1 of 11 nodes to launch.
2012/02/24 14:13:22 - Pending instances have completed.
2012/02/24 14:13:22 - Checking each node launched properly.
2012/02/24 14:13:49 - 50.112.46.215:   Waiting for software to install.
2012/02/24 14:13:57 - 50.112.20.200:   Waiting for software to install.
2012/02/24 14:13:58 - 50.112.55.63:    Waiting for software to install.
2012/02/24 14:13:58 - 50.112.46.29:    Waiting for software to install.
2012/02/24 14:13:58 - 50.112.5.127:    Waiting for software to install.
2012/02/24 14:13:58 - 50.112.29.140:   Waiting for software to install.
2012/02/24 14:13:58 - 50.112.16.56:    Waiting for software to install.
2012/02/24 14:13:59 - 50.112.5.108:    Waiting for software to install.
2012/02/24 14:13:59 - 50.112.49.97:    Waiting for software to install.
2012/02/24 14:13:59 - 50.112.51.239:   Waiting for software to install.
2012/02/24 14:13:59 - 50.112.46.215:   Waiting for software to install.
2012/02/24 14:13:59 - 50.112.29.209:   Waiting for software to install.
2012/02/24 14:14:07 - 50.112.20.200:   Waiting for software to install.
2012/02/24 14:14:08 - 50.112.55.63:    Waiting for software to install.
2012/02/24 14:14:08 - 50.112.5.127:    Waiting for software to install.
2012/02/24 14:14:08 - 50.112.46.29:    Waiting for software to install.
2012/02/24 14:14:08 - 50.112.29.140:   Waiting for software to install.
2012/02/24 14:14:08 - 50.112.16.56:    Waiting for software to install.
2012/02/24 14:14:09 - 50.112.5.108:    Waiting for software to install.
2012/02/24 14:14:09 - 50.112.51.239:   Waiting for software to install.
2012/02/24 14:14:09 - 50.112.49.97:    Waiting for software to install.
2012/02/24 14:14:10 - 50.112.29.209:   Waiting for software to install.
2012/02/24 14:14:10 - 50.112.46.215:   Waiting for software to install.
2012/02/24 14:14:18 - 50.112.20.200:   Software installation finished.
2012/02/24 14:14:18 - 50.112.20.200:   Sending ~/node_health_script via SFTP.
2012/02/24 14:14:18 - 50.112.55.63:    Software installation finished.
2012/02/24 14:14:18 - 50.112.55.63:    Sending ~/node_health_script via SFTP.
2012/02/24 14:14:18 - 50.112.46.29:    Software installation finished.
2012/02/24 14:14:18 - 50.112.46.29:    Sending ~/node_health_script via SFTP.
2012/02/24 14:14:18 - 50.112.5.127:    Software installation finished.
2012/02/24 14:14:18 - 50.112.5.127:    Sending ~/node_health_script via SFTP.
2012/02/24 14:14:18 - 50.112.29.140:   Software installation finished.
2012/02/24 14:14:18 - 50.112.29.140:   Sending ~/node_health_script via SFTP.
2012/02/24 14:14:18 - 50.112.16.56:    Software installation finished.
2012/02/24 14:14:18 - 50.112.16.56:    Sending ~/node_health_script via SFTP.
2012/02/24 14:14:19 - 50.112.20.200:   Copying ~/node_health_script to desitnation.
2012/02/24 14:14:19 - 50.112.46.29:    Copying ~/node_health_script to desitnation.
2012/02/24 14:14:19 - 50.112.5.127:    Copying ~/node_health_script to desitnation.
2012/02/24 14:14:19 - 50.112.29.140:   Copying ~/node_health_script to desitnation.
2012/02/24 14:14:19 - 50.112.16.56:    Copying ~/node_health_script to desitnation.
2012/02/24 14:14:19 - 50.112.5.108:    Software installation finished.
2012/02/24 14:14:19 - 50.112.5.108:    Sending ~/node_health_script via SFTP.
2012/02/24 14:14:19 - 50.112.20.200:   Checking file contents.
2012/02/24 14:14:19 - 50.112.5.127:    Checking file contents.
2012/02/24 14:14:19 - 50.112.46.29:    Checking file contents.
2012/02/24 14:14:19 - 50.112.29.140:   Checking file contents.
2012/02/24 14:14:19 - 50.112.55.63:    Copying ~/node_health_script to desitnation.
2012/02/24 14:14:19 - 50.112.16.56:    Checking file contents.
2012/02/24 14:14:19 - 50.112.20.200:   Remote file contents confirmed.
2012/02/24 14:14:19 - 50.112.49.97:    Software installation finished.
2012/02/24 14:14:19 - 50.112.49.97:    Sending ~/node_health_script via SFTP.
2012/02/24 14:14:19 - 50.112.51.239:   Software installation finished.
2012/02/24 14:14:19 - 50.112.51.239:   Sending ~/node_health_script via SFTP.
2012/02/24 14:14:20 - 50.112.5.127:    Remote file contents confirmed.
2012/02/24 14:14:20 - 50.112.46.29:    Remote file contents confirmed.
2012/02/24 14:14:20 - 50.112.55.63:    Checking file contents.
2012/02/24 14:14:20 - 50.112.29.140:   Remote file contents confirmed.
2012/02/24 14:14:20 - 50.112.5.108:    Copying ~/node_health_script to desitnation.
2012/02/24 14:14:20 - 50.112.16.56:    Remote file contents confirmed.
2012/02/24 14:14:20 - 50.112.29.209:   Software installation finished.
2012/02/24 14:14:20 - 50.112.29.209:   Sending ~/node_health_script via SFTP.
2012/02/24 14:14:20 - 50.112.46.215:   Software installation finished.
2012/02/24 14:14:20 - 50.112.46.215:   Sending ~/node_health_script via SFTP.
2012/02/24 14:14:20 - 50.112.55.63:    Remote file contents confirmed.
2012/02/24 14:14:20 - 50.112.5.108:    Checking file contents.
2012/02/24 14:14:20 - 50.112.51.239:   Copying ~/node_health_script to desitnation.
2012/02/24 14:14:20 - 50.112.20.200:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/02/24 14:14:20 - 50.112.20.200:   Completed check of node 50.112.20.200.
2012/02/24 14:14:20 - 50.112.46.29:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/02/24 14:14:20 - 50.112.5.127:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/02/24 14:14:20 - 50.112.5.127:    Completed check of node 50.112.5.127.
2012/02/24 14:14:20 - 50.112.5.108:    Remote file contents confirmed.
2012/02/24 14:14:20 - 50.112.29.140:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/02/24 14:14:20 - 50.112.46.29:    Completed check of node 50.112.46.29.
2012/02/24 14:14:20 - 50.112.29.140:   Completed check of node 50.112.29.140.
2012/02/24 14:14:21 - 50.112.51.239:   Checking file contents.
2012/02/24 14:14:21 - 50.112.29.209:   Copying ~/node_health_script to desitnation.
2012/02/24 14:14:21 - 50.112.16.56:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/02/24 14:14:21 - 50.112.16.56:    Completed check of node 50.112.16.56.
2012/02/24 14:14:21 - 50.112.55.63:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/02/24 14:14:21 - 50.112.55.63:    Completed check of node 50.112.55.63.
2012/02/24 14:14:21 - 50.112.51.239:   Remote file contents confirmed.
2012/02/24 14:14:21 - 50.112.5.108:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/02/24 14:14:21 - 50.112.5.108:    Completed check of node 50.112.5.108.
2012/02/24 14:14:22 - 50.112.49.97:    Copying ~/node_health_script to desitnation.
2012/02/24 14:14:22 - 50.112.29.209:   Checking file contents.
2012/02/24 14:14:22 - 50.112.49.97:    Checking file contents.
2012/02/24 14:14:22 - 50.112.51.239:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
