2013/09/25 17:56:42 - Connecting to AWS region us-west-2.
2013/09/25 17:56:42 - Calculating new unique cluster name for request 705.
2013/09/25 17:56:43 - Creating new cluster name, Hpcc-3YZU.
2013/09/25 17:56:43 - Creating Hpcc-3YZU security group.
2013/09/25 17:56:46 - Creating Hpcc-3YZU key pair.
2013/09/25 17:56:47 - Launching 18 m1.large nodes using ami-221d8012.
2013/09/25 17:56:48 - Reservation ID r-c5b00cf1 created.
2013/09/25 17:56:48 - Waiting for 18 of 18 nodes to launch.
2013/09/25 17:56:58 - Waiting for 18 of 18 nodes to launch.
2013/09/25 17:57:07 - Waiting for 18 of 18 nodes to launch.
2013/09/25 17:57:16 - Waiting for 18 of 18 nodes to launch.
2013/09/25 17:57:24 - Waiting for 18 of 18 nodes to launch.
2013/09/25 17:57:34 - Waiting for 18 of 18 nodes to launch.
2013/09/25 17:57:42 - Waiting for 18 of 18 nodes to launch.
2013/09/25 17:57:52 - Waiting for 17 of 18 nodes to launch.
2013/09/25 17:58:01 - Waiting for 16 of 18 nodes to launch.
2013/09/25 17:58:10 - Pending instances have completed.
2013/09/25 17:58:10 - Checking each node launched properly.
2013/09/25 17:58:18 - 54.245.55.3:     Checking software installation completed.
2013/09/25 17:58:18 - 54.212.211.56:   Software installation finished.
2013/09/25 17:58:18 - 54.212.211.56:   Sending /home/ubuntu/node_health_script via SFTP.
2013/09/25 17:58:18 - 54.202.45.63:    Checking software installation completed.
2013/09/25 17:58:18 - 54.202.77.13:    Software installation finished.
2013/09/25 17:58:18 - 54.202.77.13:    Sending /home/ubuntu/node_health_script via SFTP.
2013/09/25 17:58:18 - 54.245.55.3:     Waiting for software to install.
2013/09/25 17:58:18 - 54.245.149.242:  Checking software installation completed.
2013/09/25 17:58:18 - 54.214.97.140:   Checking software installation completed.
2013/09/25 17:58:18 - 54.245.76.148:   Software installation finished.
2013/09/25 17:58:18 - 54.245.76.148:   Sending /home/ubuntu/node_health_script via SFTP.
2013/09/25 17:58:19 - 54.202.45.63:    Software installation finished.
2013/09/25 17:58:19 - 54.202.45.63:    Sending /home/ubuntu/node_health_script via SFTP.
2013/09/25 17:58:19 - 54.214.98.238:   Checking software installation completed.
2013/09/25 17:58:19 - 54.202.21.246:   Checking software installation completed.
2013/09/25 17:58:19 - 54.212.211.56:   Checking file contents.
2013/09/25 17:58:19 - 54.214.97.140:   Software installation finished.
2013/09/25 17:58:19 - 54.214.97.140:   Sending /home/ubuntu/node_health_script via SFTP.
2013/09/25 17:58:19 - 54.214.91.143:   Checking software installation completed.
2013/09/25 17:58:19 - 54.245.76.148:   Checking file contents.
2013/09/25 17:58:19 - 54.202.21.246:   Software installation finished.
2013/09/25 17:58:19 - 54.202.21.246:   Sending /home/ubuntu/node_health_script via SFTP.
2013/09/25 17:58:19 - 54.202.77.13:    Checking file contents.
2013/09/25 17:58:19 - 54.212.211.56:   Remote file contents confirmed.
2013/09/25 17:58:19 - 54.214.98.238:   Software installation finished.
2013/09/25 17:58:19 - 54.214.98.238:   Sending /home/ubuntu/node_health_script via SFTP.
2013/09/25 17:58:19 - 54.202.45.63:    Checking file contents.
2013/09/25 17:58:19 - 54.245.76.148:   Remote file contents confirmed.
2013/09/25 17:58:19 - 54.245.149.242:  Software installation finished.
2013/09/25 17:58:19 - 54.245.149.242:  Sending /home/ubuntu/node_health_script via SFTP.
2013/09/25 17:58:19 - 54.202.77.13:    Remote file contents confirmed.
2013/09/25 17:58:19 - 54.214.97.140:   Checking file contents.
2013/09/25 17:58:19 - 54.202.45.63:    Remote file contents confirmed.
2013/09/25 17:58:19 - 54.214.91.143:   Software installation finished.
2013/09/25 17:58:19 - 54.214.91.143:   Sending /home/ubuntu/node_health_script via SFTP.
2013/09/25 17:58:19 - 54.202.21.246:   Checking file contents.
2013/09/25 17:58:20 - 54.214.98.238:   Checking file contents.
2013/09/25 17:58:20 - 54.214.97.140:   Remote file contents confirmed.
2013/09/25 17:58:20 - 54.212.211.56:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/09/25 17:58:20 - 54.212.211.56:   Completed check of node 54.212.211.56.
2013/09/25 17:58:20 - 54.245.149.242:  Checking file contents.
2013/09/25 17:58:20 - 54.202.21.246:   Remote file contents confirmed.
2013/09/25 17:58:20 - 54.214.98.238:   Remote file contents confirmed.
2013/09/25 17:58:20 - 54.245.76.148:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/09/25 17:58:20 - 54.245.76.148:   Completed check of node 54.245.76.148.
2013/09/25 17:58:20 - 54.202.77.13:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/09/25 17:58:20 - 54.202.77.13:    Completed check of node 54.202.77.13.
2013/09/25 17:58:20 - 54.214.91.143:   Checking file contents.
2013/09/25 17:58:20 - 54.245.149.242:  Remote file contents confirmed.
2013/09/25 17:58:20 - 54.202.45.63:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/09/25 17:58:20 - 54.202.45.63:    Completed check of node 54.202.45.63.
2013/09/25 17:58:20 - 54.214.91.143:   Remote file contents confirmed.
2013/09/25 17:58:20 - 54.214.97.140:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/09/25 17:58:20 - 54.214.97.140:   Completed check of node 54.214.97.140.
2013/09/25 17:58:20 - 54.202.21.246:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/09/25 17:58:20 - 54.214.98.238:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/09/25 17:58:20 - 54.214.98.238:   Completed check of node 54.214.98.238.
2013/09/25 17:58:21 - 54.202.21.246:   Completed check of node 54.202.21.246.
2013/09/25 17:58:21 - 54.245.149.242:  No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/09/25 17:58:21 - 54.245.149.242:  Completed check of node 54.245.149.242.
2013/09/25 17:58:21 - 54.214.91.143:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/09/25 17:58:21 - 54.214.91.143:   Completed check of node 54.214.91.143.
2013/09/25 17:58:23 - 54.245.145.229:  Checking software installation completed.
2013/09/25 17:58:23 - 54.202.55.55:    Checking software installation completed.
2013/09/25 17:58:23 - 54.202.55.55:    Software installation finished.
2013/09/25 17:58:23 - 54.202.55.55:    Sending /home/ubuntu/node_health_script via SFTP.
2013/09/25 17:58:23 - 54.245.145.229:  Software installation finished.
2013/09/25 17:58:23 - 54.245.145.229:  Sending /home/ubuntu/node_health_script via SFTP.
2013/09/25 17:58:24 - 54.202.55.55:    Checking file contents.
2013/09/25 17:58:24 - 54.245.145.229:  Checking file contents.
2013/09/25 17:58:24 - 50.112.21.119:   Software installation finished.
2013/09/25 17:58:24 - 50.112.21.119:   Sending /home/ubuntu/node_health_script via SFTP.
2013/09/25 17:58:24 - 54.214.190.105:  Software installation finished.
2013/09/25 17:58:24 - 54.214.190.105:  Sending /home/ubuntu/node_health_script via SFTP.
2013/09/25 17:58:24 - 54.202.55.55:    Remote file contents confirmed.
2013/09/25 17:58:24 - 50.112.22.71:    Software installation finished.
2013/09/25 17:58:24 - 50.112.22.71:    Sending /home/ubuntu/node_health_script via SFTP.
2013/09/25 17:58:24 - 54.245.145.229:  Remote file contents confirmed.
2013/09/25 17:58:24 - 54.202.6.209:    Checking software installation completed.
2013/09/25 17:58:24 - 54.202.63.129:   Checking software installation completed.
2013/09/25 17:58:24 - 54.214.177.183:  Software installation finished.
2013/09/25 17:58:24 - 54.214.177.183:  Sending /home/ubuntu/node_health_script via SFTP.
2013/09/25 17:58:24 - 50.112.21.119:   Checking file contents.
2013/09/25 17:58:25 - 54.214.190.105:  Checking file contents.
2013/09/25 17:58:25 - 54.202.6.209:    Software installation finished.
2013/09/25 17:58:25 - 54.202.6.209:    Sending /home/ubuntu/node_health_script via SFTP.
2013/09/25 17:58:25 - 50.112.22.71:    Checking file contents.
2013/09/25 17:58:25 - 50.112.21.119:   Remote file contents confirmed.
2013/09/25 17:58:25 - 54.202.55.55:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/09/25 17:58:25 - 54.202.55.55:    Completed check of node 54.202.55.55.
2013/09/25 17:58:25 - 54.214.190.105:  Remote file contents confirmed.
2013/09/25 17:58:25 - 54.245.145.229:  No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/09/25 17:58:25 - 54.245.145.229:  Completed check of node 54.245.145.229.
2013/09/25 17:58:25 - 50.112.22.71:    Remote file contents confirmed.
2013/09/25 17:58:25 - 54.202.63.129:   Software installation finished.
2013/09/25 17:58:25 - 54.202.63.129:   Sending /home/ubuntu/node_health_script via SFTP.
2013/09/25 17:58:25 - 54.214.177.183:  Checking file contents.
2013/09/25 17:58:25 - 54.202.6.209:    Checking file contents.
2013/09/25 17:58:25 - 54.214.177.183:  Remote file contents confirmed.
2013/09/25 17:58:25 - 50.112.21.119:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/09/25 17:58:25 - 50.112.21.119:   Completed check of node 50.112.21.119.
2013/09/25 17:58:25 - 54.202.6.209:    Remote file contents confirmed.
2013/09/25 17:58:26 - 54.202.63.129:   Checking file contents.
2013/09/25 17:58:26 - 54.214.190.105:  No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/09/25 17:58:26 - 54.214.190.105:  Completed check of node 54.214.190.105.
2013/09/25 17:58:26 - 50.112.22.71:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/09/25 17:58:26 - 50.112.22.71:    Completed check of node 50.112.22.71.
2013/09/25 17:58:26 - 54.202.63.129:   Remote file contents confirmed.
2013/09/25 17:58:26 - 54.214.177.183:  No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/09/25 17:58:26 - 54.214.177.183:  Completed check of node 54.214.177.183.
2013/09/25 17:58:26 - 54.202.6.209:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/09/25 17:58:26 - 54.202.6.209:    Completed check of node 54.202.6.209.
2013/09/25 17:58:27 - 54.202.63.129:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/09/25 17:58:27 - 54.202.63.129:   Completed check of node 54.202.63.129.
2013/09/25 17:58:29 - 54.245.55.3:     Software installation finished.
2013/09/25 17:58:29 - 54.245.55.3:     Sending /home/ubuntu/node_health_script via SFTP.
2013/09/25 17:58:29 - 54.245.55.3:     Checking file contents.
2013/09/25 17:58:29 - 54.245.55.3:     Remote file contents confirmed.
2013/09/25 17:58:30 - 54.245.55.3:     No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/09/25 17:58:30 - 54.245.55.3:     Completed check of node 54.245.55.3.
2013/09/25 17:58:30 - Determining availability zone.
2013/09/25 17:58:30 - Gathering public and private ip addresses.
2013/09/25 17:58:30 - Connecting to node 54.245.76.148 for cluster configuration.
2013/09/25 17:58:30 - Connecting via SSH.
2013/09/25 17:58:32 - Checking software installation completed.
2013/09/25 17:58:32 - Software installation finished.
2013/09/25 17:58:32 - Sending /home/ubuntu/node_health_script via SFTP.
2013/09/25 17:58:32 - Checking file contents.
2013/09/25 17:58:33 - Remote file contents confirmed.
2013/09/25 17:58:33 - No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/09/25 17:58:33 - Writing cluster private ip addresses to file on instance.
2013/09/25 17:58:33 - Sending /etc/HPCCSystems/source/ips.txt via SFTP.
2013/09/25 17:58:34 - Copying /etc/HPCCSystems/source/ips.txt to desitnation.
2013/09/25 17:58:34 - Checking file contents.
