2012/11/18 23:02:10 - Connecting to AWS region us-west-2.
2012/11/18 23:02:10 - Calculating new unique cluster name for request 403.
2012/11/18 23:02:11 - Creating new cluster name, Hpcc-4RHN.
2012/11/18 23:02:11 - Creating Hpcc-4RHN security group.
2012/11/18 23:02:14 - Creating Hpcc-4RHN key pair.
2012/11/18 23:02:15 - Launching 18 m1.large nodes using ami-e01698d0.
2012/11/18 23:02:15 - Reservation ID r-9d3711ae created.
2012/11/18 23:02:15 - Waiting for 18 of 18 nodes to launch.
2012/11/18 23:02:25 - Waiting for 18 of 18 nodes to launch.
2012/11/18 23:02:34 - Waiting for 18 of 18 nodes to launch.
2012/11/18 23:02:43 - Waiting for 18 of 18 nodes to launch.
2012/11/18 23:02:52 - Waiting for 18 of 18 nodes to launch.
2012/11/18 23:03:01 - Waiting for 18 of 18 nodes to launch.
2012/11/18 23:03:11 - Waiting for 14 of 18 nodes to launch.
2012/11/18 23:03:20 - Waiting for 10 of 18 nodes to launch.
2012/11/18 23:03:27 - Waiting for 6 of 18 nodes to launch.
2012/11/18 23:03:34 - Waiting for 4 of 18 nodes to launch.
2012/11/18 23:03:40 - Waiting for 2 of 18 nodes to launch.
2012/11/18 23:03:45 - Waiting for 2 of 18 nodes to launch.
2012/11/18 23:03:51 - Waiting for 2 of 18 nodes to launch.
2012/11/18 23:03:56 - Waiting for 1 of 18 nodes to launch.
2012/11/18 23:04:01 - Waiting for 1 of 18 nodes to launch.
2012/11/18 23:04:07 - Waiting for 1 of 18 nodes to launch.
2012/11/18 23:04:12 - Waiting for 1 of 18 nodes to launch.
2012/11/18 23:04:17 - Waiting for 1 of 18 nodes to launch.
2012/11/18 23:04:22 - Pending instances have completed.
2012/11/18 23:04:22 - Checking each node launched properly.
2012/11/18 23:04:30 - 50.112.40.106:   Checking software installation completed.
2012/11/18 23:04:30 - 54.245.5.57:     Checking software installation completed.
2012/11/18 23:04:30 - 50.112.25.20:    Checking software installation completed.
2012/11/18 23:04:30 - 54.245.28.175:   Checking software installation completed.
2012/11/18 23:04:30 - 54.245.132.12:   Checking software installation completed.
2012/11/18 23:04:30 - 50.112.72.69:    Remote file contents confirmed.
2012/11/18 23:04:30 - 50.112.214.189:  Checking software installation completed.
2012/11/18 23:04:30 - 50.112.75.1:     Checking software installation completed.
2012/11/18 23:04:30 - 54.245.28.175:   Software installation finished.
2012/11/18 23:04:30 - 54.245.28.175:   Sending /home/ubuntu/node_health_script via SFTP.
2012/11/18 23:04:30 - 50.112.21.218:   Checking software installation completed.
2012/11/18 23:04:30 - 50.112.213.21:   Software installation finished.
2012/11/18 23:04:30 - 50.112.213.21:   Sending /home/ubuntu/node_health_script via SFTP.
2012/11/18 23:04:30 - 50.112.25.20:    Software installation finished.
2012/11/18 23:04:30 - 50.112.25.20:    Sending /home/ubuntu/node_health_script via SFTP.
2012/11/18 23:04:30 - 54.245.5.57:     Software installation finished.
2012/11/18 23:04:30 - 54.245.5.57:     Sending /home/ubuntu/node_health_script via SFTP.
2012/11/18 23:04:30 - 54.245.132.12:   Software installation finished.
2012/11/18 23:04:30 - 54.245.132.12:   Sending /home/ubuntu/node_health_script via SFTP.
2012/11/18 23:04:30 - 50.112.10.119:   Checking software installation completed.
2012/11/18 23:04:30 - 54.245.128.129:  Checking software installation completed.
2012/11/18 23:04:30 - 50.112.40.106:   Software installation finished.
2012/11/18 23:04:30 - 50.112.40.106:   Sending /home/ubuntu/node_health_script via SFTP.
2012/11/18 23:04:30 - 50.112.32.16:    Checking software installation completed.
2012/11/18 23:04:30 - 50.112.67.14:    Software installation finished.
2012/11/18 23:04:30 - 50.112.67.14:    Sending /home/ubuntu/node_health_script via SFTP.
2012/11/18 23:04:30 - 50.112.75.1:     Software installation finished.
2012/11/18 23:04:30 - 50.112.75.1:     Sending /home/ubuntu/node_health_script via SFTP.
2012/11/18 23:04:30 - 50.112.214.189:  Software installation finished.
2012/11/18 23:04:30 - 50.112.214.189:  Sending /home/ubuntu/node_health_script via SFTP.
2012/11/18 23:04:30 - 50.112.21.218:   Software installation finished.
2012/11/18 23:04:30 - 50.112.21.218:   Sending /home/ubuntu/node_health_script via SFTP.
2012/11/18 23:04:31 - 54.245.128.129:  Software installation finished.
2012/11/18 23:04:31 - 54.245.128.129:  Sending /home/ubuntu/node_health_script via SFTP.
2012/11/18 23:04:31 - 50.112.10.119:   Software installation finished.
2012/11/18 23:04:31 - 50.112.10.119:   Sending /home/ubuntu/node_health_script via SFTP.
2012/11/18 23:04:31 - 50.112.72.69:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/11/18 23:04:31 - 50.112.72.69:    Completed check of node 50.112.72.69.
2012/11/18 23:04:31 - 50.112.213.21:   Checking file contents.
2012/11/18 23:04:31 - 50.112.32.16:    Software installation finished.
2012/11/18 23:04:31 - 50.112.32.16:    Sending /home/ubuntu/node_health_script via SFTP.
2012/11/18 23:04:31 - 54.245.5.57:     Checking file contents.
2012/11/18 23:04:31 - 50.112.80.15:    Checking software installation completed.
2012/11/18 23:04:31 - 50.112.25.20:    Checking file contents.
2012/11/18 23:04:31 - 54.245.28.175:   Checking file contents.
2012/11/18 23:04:31 - 54.245.132.12:   Checking file contents.
2012/11/18 23:04:31 - 50.112.40.106:   Checking file contents.
2012/11/18 23:04:31 - 50.112.80.11:    Checking software installation completed.
2012/11/18 23:04:31 - 50.112.213.21:   Remote file contents confirmed.
2012/11/18 23:04:31 - 54.245.5.57:     Remote file contents confirmed.
2012/11/18 23:04:31 - 50.112.75.1:     Checking file contents.
2012/11/18 23:04:31 - 50.112.21.218:   Checking file contents.
2012/11/18 23:04:31 - 50.112.67.14:    Checking file contents.
2012/11/18 23:04:31 - 50.112.25.20:    Remote file contents confirmed.
2012/11/18 23:04:31 - 54.245.28.175:   Remote file contents confirmed.
2012/11/18 23:04:31 - 50.112.214.189:  Checking file contents.
2012/11/18 23:04:31 - 50.112.10.119:   Checking file contents.
2012/11/18 23:04:31 - 54.245.132.12:   Remote file contents confirmed.
2012/11/18 23:04:31 - 54.245.128.129:  Checking file contents.
2012/11/18 23:04:31 - 50.112.40.106:   Remote file contents confirmed.
2012/11/18 23:04:31 - 50.112.32.16:    Checking file contents.
2012/11/18 23:04:31 - 50.112.80.11:    Software installation finished.
2012/11/18 23:04:31 - 50.112.80.11:    Sending /home/ubuntu/node_health_script via SFTP.
2012/11/18 23:04:31 - 50.112.80.15:    Software installation finished.
2012/11/18 23:04:31 - 50.112.80.15:    Sending /home/ubuntu/node_health_script via SFTP.
2012/11/18 23:04:31 - 50.112.75.1:     Remote file contents confirmed.
2012/11/18 23:04:31 - 50.112.21.218:   Remote file contents confirmed.
2012/11/18 23:04:31 - 50.112.214.189:  Remote file contents confirmed.
2012/11/18 23:04:31 - 50.112.10.119:   Remote file contents confirmed.
2012/11/18 23:04:31 - 50.112.67.14:    Remote file contents confirmed.
2012/11/18 23:04:31 - 54.245.128.129:  Remote file contents confirmed.
2012/11/18 23:04:31 - 50.112.32.16:    Remote file contents confirmed.
2012/11/18 23:04:32 - 50.112.213.21:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/11/18 23:04:32 - 54.245.5.57:     No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/11/18 23:04:32 - 54.245.5.57:     Completed check of node 54.245.5.57.
2012/11/18 23:04:32 - 50.112.213.21:   Completed check of node 50.112.213.21.
2012/11/18 23:04:32 - 50.112.80.11:    Checking file contents.
2012/11/18 23:04:32 - 54.245.28.175:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/11/18 23:04:32 - 54.245.28.175:   Completed check of node 54.245.28.175.
2012/11/18 23:04:32 - 50.112.25.20:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/11/18 23:04:32 - 50.112.25.20:    Completed check of node 50.112.25.20.
2012/11/18 23:04:32 - 50.112.40.106:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/11/18 23:04:32 - 50.112.40.106:   Completed check of node 50.112.40.106.
2012/11/18 23:04:32 - 50.112.80.15:    Checking file contents.
2012/11/18 23:04:32 - 54.245.132.12:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/11/18 23:04:32 - 54.245.132.12:   Completed check of node 54.245.132.12.
2012/11/18 23:04:32 - 50.112.75.1:     No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/11/18 23:04:32 - 50.112.75.1:     Completed check of node 50.112.75.1.
2012/11/18 23:04:32 - 50.112.21.218:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/11/18 23:04:32 - 50.112.10.119:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/11/18 23:04:32 - 50.112.10.119:   Completed check of node 50.112.10.119.
2012/11/18 23:04:32 - 50.112.214.189:  No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/11/18 23:04:32 - 50.112.214.189:  Completed check of node 50.112.214.189.
