2012/11/19 23:41:28 - Connecting to AWS region us-west-2.
2012/11/19 23:41:28 - Calculating new unique cluster name for request 411.
2012/11/19 23:41:28 - Creating new cluster name, Hpcc-ZWME.
2012/11/19 23:41:28 - Creating Hpcc-ZWME security group.
2012/11/19 23:41:32 - Creating Hpcc-ZWME key pair.
2012/11/19 23:41:33 - Launching 13 m1.large nodes using ami-e01698d0.
2012/11/19 23:41:34 - Reservation ID r-59a8896a created.
2012/11/19 23:41:34 - Waiting for 13 of 13 nodes to launch.
2012/11/19 23:41:43 - Waiting for 13 of 13 nodes to launch.
2012/11/19 23:41:52 - Waiting for 13 of 13 nodes to launch.
2012/11/19 23:42:00 - Waiting for 13 of 13 nodes to launch.
2012/11/19 23:42:09 - Waiting for 13 of 13 nodes to launch.
2012/11/19 23:42:17 - Waiting for 13 of 13 nodes to launch.
2012/11/19 23:42:26 - Waiting for 9 of 13 nodes to launch.
2012/11/19 23:42:34 - Waiting for 4 of 13 nodes to launch.
2012/11/19 23:42:40 - Waiting for 4 of 13 nodes to launch.
2012/11/19 23:42:48 - Waiting for 2 of 13 nodes to launch.
2012/11/19 23:42:53 - Pending instances have completed.
2012/11/19 23:42:53 - Checking each node launched properly.
2012/11/19 23:43:01 - 50.112.15.60:    Remote file contents confirmed.
2012/11/19 23:43:01 - 54.245.53.255:   Remote file contents confirmed.
2012/11/19 23:43:02 - 54.245.35.163:   Remote file contents confirmed.
2012/11/19 23:43:02 - 50.112.232.185:  Remote file contents confirmed.
2012/11/19 23:43:02 - 50.112.83.78:    Remote file contents confirmed.
2012/11/19 23:43:02 - 50.112.70.103:   Checking file contents.
2012/11/19 23:43:02 - 50.112.53.249:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/11/19 23:43:02 - 50.112.53.249:   Completed check of node 50.112.53.249.
2012/11/19 23:43:02 - 50.112.70.103:   Remote file contents confirmed.
2012/11/19 23:43:02 - 54.245.48.199:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/11/19 23:43:02 - 54.245.48.199:   Completed check of node 54.245.48.199.
2012/11/19 23:43:02 - 50.112.70.104:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/11/19 23:43:02 - 50.112.15.60:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/11/19 23:43:02 - 50.112.15.60:    Completed check of node 50.112.15.60.
2012/11/19 23:43:02 - 54.245.53.255:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/11/19 23:43:02 - 54.245.53.255:   Completed check of node 54.245.53.255.
2012/11/19 23:43:02 - 54.245.41.49:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/11/19 23:43:02 - 54.245.41.49:    Completed check of node 54.245.41.49.
2012/11/19 23:43:02 - 50.112.70.104:   Completed check of node 50.112.70.104.
2012/11/19 23:43:02 - 54.245.35.163:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/11/19 23:43:02 - 54.245.35.163:   Completed check of node 54.245.35.163.
2012/11/19 23:43:02 - 50.112.232.185:  No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/11/19 23:43:02 - 50.112.232.185:  Completed check of node 50.112.232.185.
2012/11/19 23:43:02 - 50.112.83.78:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/11/19 23:43:02 - 50.112.83.78:    Completed check of node 50.112.83.78.
2012/11/19 23:43:03 - 50.112.70.103:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/11/19 23:43:03 - 50.112.70.103:   Completed check of node 50.112.70.103.
2012/11/19 23:43:05 - 54.245.52.218:   Checking software installation completed.
2012/11/19 23:43:05 - 54.245.52.218:   Software installation finished.
2012/11/19 23:43:05 - 54.245.52.218:   Sending /home/ubuntu/node_health_script via SFTP.
2012/11/19 23:43:05 - 50.112.46.71:    Checking software installation completed.
2012/11/19 23:43:05 - 50.112.65.145:   Checking software installation completed.
2012/11/19 23:43:06 - 50.112.65.145:   Software installation finished.
2012/11/19 23:43:06 - 50.112.65.145:   Sending /home/ubuntu/node_health_script via SFTP.
2012/11/19 23:43:06 - 50.112.46.71:    Software installation finished.
2012/11/19 23:43:06 - 50.112.46.71:    Sending /home/ubuntu/node_health_script via SFTP.
2012/11/19 23:43:06 - 54.245.52.218:   Checking file contents.
2012/11/19 23:43:06 - 54.245.52.218:   Remote file contents confirmed.
2012/11/19 23:43:06 - 50.112.46.71:    Checking file contents.
2012/11/19 23:43:06 - 50.112.65.145:   Checking file contents.
2012/11/19 23:43:07 - 50.112.65.145:   Remote file contents confirmed.
2012/11/19 23:43:07 - 50.112.46.71:    Remote file contents confirmed.
