2013/09/12 16:59:53 - 54.245.57.183:   Sending /home/ubuntu/node_health_script via SFTP.
2013/09/12 16:59:54 - 54.244.110.95:   Checking software installation completed.
2013/09/12 16:59:54 - 54.245.22.144:   Checking software installation completed.
2013/09/12 16:59:54 - 54.214.124.236:  Checking software installation completed.
2013/09/12 16:59:54 - 54.218.148.232:  Checking software installation completed.
2013/09/12 16:59:54 - 54.245.57.183:   Checking file contents.
2013/09/12 16:59:54 - 54.214.184.199:  Checking software installation completed.
2013/09/12 16:59:54 - 54.214.117.100:  Checking software installation completed.
2013/09/12 16:59:54 - 54.212.164.156:  Checking software installation completed.
2013/09/12 16:59:54 - 54.218.164.162:  Checking software installation completed.
2013/09/12 16:59:54 - 54.214.137.21:   Checking software installation completed.
2013/09/12 16:59:54 - 54.245.155.232:  Checking software installation completed.
2013/09/12 16:59:54 - 54.212.160.99:   Checking software installation completed.
2013/09/12 16:59:54 - 54.214.93.253:   Checking software installation completed.
2013/09/12 16:59:54 - 54.214.124.236:  Software installation finished.
2013/09/12 16:59:54 - 54.214.124.236:  Sending /home/ubuntu/node_health_script via SFTP.
2013/09/12 16:59:54 - 54.245.57.183:   Remote file contents confirmed.
2013/09/12 16:59:54 - 54.214.117.100:  Software installation finished.
2013/09/12 16:59:54 - 54.214.117.100:  Sending /home/ubuntu/node_health_script via SFTP.
2013/09/12 16:59:54 - 54.214.184.199:  Software installation finished.
2013/09/12 16:59:54 - 54.214.184.199:  Sending /home/ubuntu/node_health_script via SFTP.
2013/09/12 16:59:54 - 54.218.164.162:  Software installation finished.
2013/09/12 16:59:54 - 54.218.164.162:  Sending /home/ubuntu/node_health_script via SFTP.
2013/09/12 16:59:54 - 54.245.179.246:  Checking software installation completed.
2013/09/12 16:59:54 - 54.212.164.156:  Software installation finished.
2013/09/12 16:59:54 - 54.212.164.156:  Sending /home/ubuntu/node_health_script via SFTP.
2013/09/12 16:59:54 - 54.245.221.118:  Checking software installation completed.
2013/09/12 16:59:54 - 54.218.148.232:  Software installation finished.
2013/09/12 16:59:54 - 54.218.148.232:  Sending /home/ubuntu/node_health_script via SFTP.
2013/09/12 16:59:54 - 54.245.155.232:  Software installation finished.
2013/09/12 16:59:54 - 54.245.155.232:  Sending /home/ubuntu/node_health_script via SFTP.
2013/09/12 16:59:54 - 54.245.22.144:   Software installation finished.
2013/09/12 16:59:54 - 54.245.22.144:   Sending /home/ubuntu/node_health_script via SFTP.
2013/09/12 16:59:54 - 54.214.137.21:   Software installation finished.
2013/09/12 16:59:54 - 54.214.137.21:   Sending /home/ubuntu/node_health_script via SFTP.
2013/09/12 16:59:54 - 54.214.195.4:    Checking software installation completed.
2013/09/12 16:59:54 - 54.244.110.95:   Software installation finished.
2013/09/12 16:59:54 - 54.244.110.95:   Sending /home/ubuntu/node_health_script via SFTP.
2013/09/12 16:59:54 - 54.212.160.99:   Software installation finished.
2013/09/12 16:59:54 - 54.212.160.99:   Sending /home/ubuntu/node_health_script via SFTP.
2013/09/12 16:59:54 - 54.214.93.253:   Software installation finished.
2013/09/12 16:59:54 - 54.214.93.253:   Sending /home/ubuntu/node_health_script via SFTP.
2013/09/12 16:59:55 - 54.245.18.73:    Checking software installation completed.
2013/09/12 16:59:55 - 54.245.179.246:  Software installation finished.
2013/09/12 16:59:55 - 54.245.179.246:  Sending /home/ubuntu/node_health_script via SFTP.
2013/09/12 16:59:55 - 54.214.124.236:  Checking file contents.
2013/09/12 16:59:55 - 54.214.195.4:    Software installation finished.
2013/09/12 16:59:55 - 54.214.195.4:    Sending /home/ubuntu/node_health_script via SFTP.
2013/09/12 16:59:55 - 54.214.117.100:  Checking file contents.
2013/09/12 16:59:55 - 54.218.148.232:  Checking file contents.
2013/09/12 16:59:55 - 54.218.164.162:  Checking file contents.
2013/09/12 16:59:55 - 54.245.155.232:  Checking file contents.
2013/09/12 16:59:55 - 54.214.137.21:   Checking file contents.
2013/09/12 16:59:55 - 54.245.22.144:   Checking file contents.
2013/09/12 16:59:55 - 54.214.184.199:  Checking file contents.
