2012/10/24 16:50:32 - Connecting to AWS region us-west-2.
2012/10/24 16:50:32 - Calculating new unique cluster name for request 367.
2012/10/24 16:50:33 - Creating new cluster name, Hpcc-TRSY.
2012/10/24 16:50:33 - Creating Hpcc-TRSY security group.
2012/10/24 16:50:37 - Creating Hpcc-TRSY key pair.
2012/10/24 16:50:37 - Launching 11 m1.large nodes using ami-bcd4588c.
2012/10/24 16:50:38 - Reservation ID r-4d24607e created.
2012/10/24 16:50:38 - Waiting for 11 of 11 nodes to launch.
2012/10/24 16:50:47 - Waiting for 11 of 11 nodes to launch.
2012/10/24 16:50:55 - Waiting for 11 of 11 nodes to launch.
2012/10/24 16:51:03 - Waiting for 11 of 11 nodes to launch.
2012/10/24 16:51:11 - Waiting for 11 of 11 nodes to launch.
2012/10/24 16:51:18 - Waiting for 11 of 11 nodes to launch.
2012/10/24 16:51:26 - Waiting for 11 of 11 nodes to launch.
2012/10/24 16:51:34 - Waiting for 11 of 11 nodes to launch.
2012/10/24 16:51:43 - Waiting for 9 of 11 nodes to launch.
2012/10/24 16:51:50 - Waiting for 8 of 11 nodes to launch.
2012/10/24 16:51:57 - Waiting for 5 of 11 nodes to launch.
2012/10/24 16:52:04 - Waiting for 4 of 11 nodes to launch.
2012/10/24 16:52:10 - Waiting for 3 of 11 nodes to launch.
2012/10/24 16:52:16 - Waiting for 1 of 11 nodes to launch.
2012/10/24 16:52:21 - Waiting for 1 of 11 nodes to launch.
2012/10/24 16:52:27 - Waiting for 1 of 11 nodes to launch.
2012/10/24 16:52:32 - Waiting for 1 of 11 nodes to launch.
2012/10/24 16:52:37 - Waiting for 1 of 11 nodes to launch.
2012/10/24 16:52:42 - Pending instances have completed.
2012/10/24 16:52:42 - Checking each node launched properly.
2012/10/24 16:52:47 - 50.112.239.30:   Remote file contents confirmed.
2012/10/24 16:52:47 - 50.112.12.255:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/10/24 16:52:47 - 50.112.12.255:   Completed check of node 50.112.12.255.
2012/10/24 16:52:47 - 50.112.63.31:    Remote file contents confirmed.
2012/10/24 16:52:47 - 50.112.75.127:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/10/24 16:52:47 - 50.112.75.127:   Completed check of node 50.112.75.127.
2012/10/24 16:52:47 - 54.245.52.221:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/10/24 16:52:47 - 50.112.83.131:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/10/24 16:52:47 - 50.112.83.131:   Completed check of node 50.112.83.131.
2012/10/24 16:52:47 - 54.245.52.221:   Completed check of node 54.245.52.221.
2012/10/24 16:52:47 - 50.112.237.24:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/10/24 16:52:47 - 50.112.237.24:   Completed check of node 50.112.237.24.
2012/10/24 16:52:47 - 54.245.48.6:     No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/10/24 16:52:47 - 54.245.48.6:     Completed check of node 54.245.48.6.
2012/10/24 16:52:47 - 50.112.87.151:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/10/24 16:52:47 - 50.112.86.101:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/10/24 16:52:47 - 50.112.86.101:   Completed check of node 50.112.86.101.
2012/10/24 16:52:47 - 50.112.22.3:     No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/10/24 16:52:47 - 50.112.22.3:     Completed check of node 50.112.22.3.
2012/10/24 16:52:47 - 50.112.239.30:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/10/24 16:52:47 - 50.112.239.30:   Completed check of node 50.112.239.30.
2012/10/24 16:52:47 - 50.112.87.151:   Completed check of node 50.112.87.151.
2012/10/24 16:52:48 - 50.112.63.31:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/10/24 16:52:48 - 50.112.63.31:    Completed check of node 50.112.63.31.
2012/10/24 16:52:48 - Determining availability zone.
2012/10/24 16:52:48 - Gathering public and private ip addresses.
2012/10/24 16:52:48 - Connecting to node 54.245.52.221 for cluster configuration.
2012/10/24 16:52:48 - Connecting via SSH.
2012/10/24 16:52:49 - Checking software installation completed.
2012/10/24 16:52:49 - Software installation finished.
2012/10/24 16:52:49 - Sending /home/ubuntu/node_health_script via SFTP.
2012/10/24 16:52:50 - Checking file contents.
2012/10/24 16:52:50 - Remote file contents confirmed.
2012/10/24 16:52:51 - No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/10/24 16:52:51 - Writing cluster private ip addresses to file on instance.
2012/10/24 16:52:51 - Sending /etc/HPCCSystems/source/ips.txt via SFTP.
2012/10/24 16:52:52 - Copying /etc/HPCCSystems/source/ips.txt to desitnation.
2012/10/24 16:52:52 - Checking file contents.
2012/10/24 16:52:52 - Remote file contents confirmed.
2012/10/24 16:52:52 - Running envgen
2012/10/24 16:52:53 - Reading the config file.
2012/10/24 16:52:54 - Retrieving IP address of ESP Server.
2012/10/24 16:52:54 - ESP Server private IP address: 10.249.18.37.
2012/10/24 16:52:54 - ESP Server public IP address: 54.245.52.221.
2012/10/24 16:52:54 - 50.112.12.255:   Starting node configuration.
2012/10/24 16:52:54 - 50.112.12.255:   Connecting via SSH.
2012/10/24 16:52:54 - 50.112.63.31:    Starting node configuration.
2012/10/24 16:52:54 - 50.112.63.31:    Connecting via SSH.
2012/10/24 16:52:54 - 54.245.52.221:   Starting node configuration.
2012/10/24 16:52:54 - 50.112.87.151:   Starting node configuration.
2012/10/24 16:52:54 - 50.112.87.151:   Connecting via SSH.
2012/10/24 16:52:54 - 54.245.52.221:   Connecting via SSH.
2012/10/24 16:52:54 - 50.112.239.30:   Starting node configuration.
2012/10/24 16:52:54 - 50.112.83.131:   Starting node configuration.
2012/10/24 16:52:54 - 50.112.83.131:   Connecting via SSH.
2012/10/24 16:52:54 - 50.112.239.30:   Connecting via SSH.
2012/10/24 16:52:54 - 50.112.22.3:     Starting node configuration.
2012/10/24 16:52:54 - 50.112.22.3:     Connecting via SSH.
