2014/07/13 15:13:43 - Connecting to AWS region us-east-1.
2014/07/13 15:13:43 - Calculating new unique cluster name for request 852.
2014/07/13 15:13:43 - Creating new cluster name, Hpcc-96MS.
2014/07/13 15:13:43 - Creating Hpcc-96MS security group.
2014/07/13 15:18:05 - 54.90.28.68:     Sending /home/ubuntu/node_health_script via SFTP.
2014/07/13 15:18:05 - 54.90.28.68:     Checking file contents.
2014/07/13 15:18:05 - 54.90.83.129:    Checking software installation completed.
2014/07/13 15:18:05 - 54.90.28.68:     Remote file contents confirmed.
2014/07/13 15:18:05 - 54.242.137.197:  No Packet, Sys logs, free memory, free disk, or disk I/O errors
2014/07/13 15:18:05 - 54.242.137.197:  Completed check of node 54.242.137.197.
2014/07/13 15:18:05 - 54.90.83.129:    Software installation finished.
2014/07/13 15:18:05 - 54.90.83.129:    Sending /home/ubuntu/node_health_script via SFTP.
2014/07/13 15:18:05 - 54.90.83.129:    Checking file contents.
2014/07/13 15:18:05 - 54.90.83.129:    Remote file contents confirmed.
2014/07/13 15:18:05 - 54.90.28.68:     No Packet, Sys logs, free memory, free disk, or disk I/O errors
2014/07/13 15:18:05 - 54.90.28.68:     Completed check of node 54.90.28.68.
2014/07/13 15:18:05 - 54.90.83.129:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2014/07/13 15:18:05 - 54.90.83.129:    Completed check of node 54.90.83.129.
2014/07/13 15:18:06 - 54.91.62.125:    Waiting on SSH connection.
2014/07/13 15:18:06 - 54.87.170.247:   Software installation finished.
2014/07/13 15:18:06 - 54.87.170.247:   Sending /home/ubuntu/node_health_script via SFTP.
2014/07/13 15:18:06 - 54.91.234.238:   Checking software installation completed.
2014/07/13 15:18:06 - 54.87.170.247:   Checking file contents.
2014/07/13 15:18:06 - 54.83.134.225:   Checking software installation completed.
2014/07/13 15:18:06 - 54.87.170.247:   Remote file contents confirmed.
2014/07/13 15:18:06 - 23.20.123.174:   Checking software installation completed.
2014/07/13 15:18:06 - 54.91.234.238:   Software installation finished.
2014/07/13 15:18:06 - 54.91.234.238:   Sending /home/ubuntu/node_health_script via SFTP.
2014/07/13 15:18:06 - 54.83.134.225:   Software installation finished.
2014/07/13 15:18:06 - 54.83.134.225:   Sending /home/ubuntu/node_health_script via SFTP.
2014/07/13 15:18:06 - 23.20.123.174:   Software installation finished.
