2013/09/19 16:44:10 - Connecting to AWS region us-west-2.
2013/09/19 16:44:10 - Calculating new unique cluster name for request 693.
2013/09/19 16:44:11 - Creating new cluster name, Hpcc-3CSR.
2013/09/19 16:44:11 - Creating Hpcc-3CSR security group.
2013/09/19 16:44:14 - Creating Hpcc-3CSR key pair.
2013/09/19 16:44:15 - Launching 18 m1.large nodes using ami-221d8012.
2013/09/19 16:44:16 - Reservation ID r-d9d792ed created.
2013/09/19 16:44:16 - Waiting for 18 of 18 nodes to launch.
2013/09/19 16:44:26 - Waiting for 18 of 18 nodes to launch.
2013/09/19 16:44:35 - Waiting for 18 of 18 nodes to launch.
2013/09/19 16:44:44 - Waiting for 18 of 18 nodes to launch.
2013/09/19 16:44:53 - Waiting for 18 of 18 nodes to launch.
2013/09/19 16:45:01 - Waiting for 18 of 18 nodes to launch.
2013/09/19 16:45:10 - Waiting for 18 of 18 nodes to launch.
2013/09/19 16:45:19 - Waiting for 18 of 18 nodes to launch.
2013/09/19 16:45:28 - Waiting for 18 of 18 nodes to launch.
2013/09/19 16:45:37 - Waiting for 18 of 18 nodes to launch.
2013/09/19 16:45:46 - Waiting for 3 of 18 nodes to launch.
2013/09/19 16:45:52 - Pending instances have completed.
2013/09/19 16:45:52 - Checking each node launched properly.
2013/09/19 16:46:01 - 50.112.13.105:   Checking software installation completed.
2013/09/19 16:46:01 - 54.218.167.120:  Software installation finished.
2013/09/19 16:46:01 - 54.218.167.120:  Sending /home/ubuntu/node_health_script via SFTP.
2013/09/19 16:46:01 - 54.245.195.181:  Software installation finished.
2013/09/19 16:46:01 - 54.245.195.181:  Sending /home/ubuntu/node_health_script via SFTP.
2013/09/19 16:46:01 - 54.245.162.196:  Software installation finished.
2013/09/19 16:46:01 - 54.245.162.196:  Sending /home/ubuntu/node_health_script via SFTP.
2013/09/19 16:46:01 - 54.214.169.236:  Checking file contents.
2013/09/19 16:46:01 - 54.245.30.222:   Checking file contents.
2013/09/19 16:46:01 - 54.214.181.127:  Checking file contents.
2013/09/19 16:46:01 - 54.214.115.219:  Checking file contents.
2013/09/19 16:46:01 - 50.112.204.51:   Software installation finished.
2013/09/19 16:46:01 - 50.112.204.51:   Sending /home/ubuntu/node_health_script via SFTP.
2013/09/19 16:46:01 - 54.218.155.98:   Software installation finished.
2013/09/19 16:46:01 - 54.218.155.98:   Sending /home/ubuntu/node_health_script via SFTP.
2013/09/19 16:46:01 - 54.218.131.175:  Checking file contents.
2013/09/19 16:46:01 - 54.212.153.58:   Checking file contents.
2013/09/19 16:46:01 - 54.202.23.4:     No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/09/19 16:46:01 - 54.202.23.4:     Completed check of node 54.202.23.4.
2013/09/19 16:46:01 - 54.214.117.232:  Checking file contents.
2013/09/19 16:46:01 - 50.112.13.105:   Software installation finished.
2013/09/19 16:46:01 - 50.112.13.105:   Sending /home/ubuntu/node_health_script via SFTP.
2013/09/19 16:46:01 - 54.214.169.236:  Remote file contents confirmed.
2013/09/19 16:46:02 - 50.112.3.239:    Checking file contents.
2013/09/19 16:46:02 - 54.245.195.181:  Checking file contents.
2013/09/19 16:46:02 - 54.214.181.127:  Remote file contents confirmed.
2013/09/19 16:46:02 - 54.245.30.222:   Remote file contents confirmed.
2013/09/19 16:46:02 - 54.218.167.120:  Checking file contents.
2013/09/19 16:46:02 - 54.214.115.219:  Remote file contents confirmed.
2013/09/19 16:46:02 - 54.212.153.58:   Remote file contents confirmed.
2013/09/19 16:46:02 - 54.245.162.196:  Checking file contents.
2013/09/19 16:46:02 - 54.218.131.175:  Remote file contents confirmed.
2013/09/19 16:46:02 - 54.214.117.232:  Remote file contents confirmed.
2013/09/19 16:46:02 - 54.245.195.181:  Remote file contents confirmed.
2013/09/19 16:46:02 - 50.112.3.239:    Remote file contents confirmed.
2013/09/19 16:46:02 - 54.218.155.98:   Checking file contents.
2013/09/19 16:46:02 - 54.218.167.120:  Remote file contents confirmed.
2013/09/19 16:46:02 - 50.112.204.51:   Checking file contents.
2013/09/19 16:46:02 - 54.214.100.206:  Checking software installation completed.
2013/09/19 16:46:02 - 54.245.162.196:  Remote file contents confirmed.
2013/09/19 16:46:02 - 54.212.207.13:   Software installation finished.
2013/09/19 16:46:02 - 54.212.207.13:   Sending /home/ubuntu/node_health_script via SFTP.
2013/09/19 16:46:02 - 50.112.13.105:   Checking file contents.
2013/09/19 16:46:02 - 54.218.155.98:   Remote file contents confirmed.
2013/09/19 16:46:02 - 50.112.204.51:   Remote file contents confirmed.
2013/09/19 16:46:02 - 54.214.169.236:  No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/09/19 16:46:02 - 54.214.169.236:  Completed check of node 54.214.169.236.
2013/09/19 16:46:02 - 54.214.181.127:  No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/09/19 16:46:02 - 54.214.181.127:  Completed check of node 54.214.181.127.
2013/09/19 16:46:02 - 54.245.30.222:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/09/19 16:46:02 - 54.245.30.222:   Completed check of node 54.245.30.222.
2013/09/19 16:46:02 - 54.212.153.58:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/09/19 16:46:02 - 54.212.153.58:   Completed check of node 54.212.153.58.
2013/09/19 16:46:02 - 50.112.13.105:   Remote file contents confirmed.
2013/09/19 16:46:02 - 54.214.100.206:  Software installation finished.
2013/09/19 16:46:02 - 54.214.100.206:  Sending /home/ubuntu/node_health_script via SFTP.
2013/09/19 16:46:02 - 54.214.117.232:  No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/09/19 16:46:02 - 54.214.117.232:  Completed check of node 54.214.117.232.
2013/09/19 16:46:02 - 54.218.131.175:  No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/09/19 16:46:02 - 54.218.131.175:  Completed check of node 54.218.131.175.
2013/09/19 16:46:02 - 54.214.115.219:  No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/09/19 16:46:02 - 54.214.115.219:  Completed check of node 54.214.115.219.
2013/09/19 16:46:02 - 54.212.207.13:   Checking file contents.
2013/09/19 16:46:03 - 50.112.3.239:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
