2013/05/14 16:47:22 - 54.244.180.126:  Connecting via SSH.
2013/05/14 16:47:22 - 54.245.137.14:   Checking EC2 instance is running.
2013/05/14 16:47:22 - 54.245.137.14:   Connecting via SSH.
2013/05/14 16:47:22 - 54.244.203.137:  Checking EC2 instance is running.
2013/05/14 16:47:22 - 50.112.83.31:    Connecting via SSH.
2013/05/14 16:47:22 - 54.244.203.137:  Connecting via SSH.
2013/05/14 16:47:22 - 54.245.185.167:  Checking EC2 instance is running.
2013/05/14 16:47:22 - 54.244.142.177:  Checking EC2 instance is running.
2013/05/14 16:47:22 - 54.244.216.77:   Connecting via SSH.
2013/05/14 16:47:22 - 54.244.142.177:  Connecting via SSH.
2013/05/14 16:47:22 - 54.245.185.167:  Connecting via SSH.
2013/05/14 16:47:22 - 54.214.60.251:   Checking EC2 instance is running.
2013/05/14 16:47:22 - 54.214.60.251:   Connecting via SSH.
2013/05/14 16:47:22 - 54.244.74.247:   Checking EC2 instance is running.
2013/05/14 16:47:22 - 54.244.74.247:   Connecting via SSH.
2013/05/14 16:47:22 - 54.214.58.102:   Checking EC2 instance is running.
2013/05/14 16:47:22 - 54.214.58.102:   Connecting via SSH.
2013/05/14 16:47:22 - 54.245.17.37:    Checking EC2 instance is running.
2013/05/14 16:47:22 - 54.245.17.37:    Connecting via SSH.
2013/05/14 16:47:22 - 54.244.147.234:  Checking EC2 instance is running.
2013/05/14 16:47:22 - 54.244.147.234:  Connecting via SSH.
2013/05/14 16:47:22 - 54.214.73.177:   Checking EC2 instance is running.
2013/05/14 16:47:22 - 54.214.73.177:   Connecting via SSH.
2013/05/14 16:47:29 - 54.245.3.86:     Checking software installation completed.
2013/05/14 16:47:29 - 54.245.3.86:     Software installation finished.
2013/05/14 16:47:29 - 54.245.3.86:     Sending /home/ubuntu/node_health_script via SFTP.
2013/05/14 16:47:30 - 54.245.3.86:     Checking file contents.
2013/05/14 16:47:30 - 54.245.20.137:   Checking software installation completed.
2013/05/14 16:47:30 - 54.245.200.152:  Checking software installation completed.
2013/05/14 16:47:30 - 54.245.3.86:     Remote file contents confirmed.
2013/05/14 16:47:30 - 54.245.138.7:    Checking software installation completed.
2013/05/14 16:47:30 - 54.245.194.113:  Checking software installation completed.
2013/05/14 16:47:30 - 54.245.20.137:   Software installation finished.
