2013/05/24 17:30:40 - Connecting to AWS region us-west-2.
2013/05/24 17:30:40 - Calculating new unique cluster name for request 611.
2013/05/24 17:30:41 - Creating new cluster name, Hpcc-2YEC.
2013/05/24 17:30:41 - Creating Hpcc-2YEC security group.
2013/05/24 17:30:45 - Creating Hpcc-2YEC key pair.
2013/05/24 17:30:46 - Launching 205 m1.large nodes using ami-c1ca5cf1.
2013/05/24 17:31:15 - Reservation ID r-0d29373f created.
2013/05/24 17:31:15 - Waiting for 205 of 205 nodes to launch.
2013/05/24 17:32:13 - Waiting for 205 of 205 nodes to launch.
2013/05/24 17:33:12 - Waiting for 142 of 205 nodes to launch.
2013/05/24 17:33:54 - Waiting for 12 of 205 nodes to launch.
2013/05/24 17:34:03 - Waiting for 3 of 205 nodes to launch.
2013/05/24 17:34:09 - Waiting for 3 of 205 nodes to launch.
2013/05/24 17:34:14 - Waiting for 3 of 205 nodes to launch.
2013/05/24 17:34:20 - Waiting for 1 of 205 nodes to launch.
2013/05/24 17:34:25 - Pending instances have completed.
2013/05/24 17:34:25 - Checking each node launched properly.
2013/05/24 17:34:26 - 54.214.177.148:  Checking EC2 instance is running.
2013/05/24 17:34:26 - 54.214.177.148:  Connecting via SSH.
2013/05/24 17:34:26 - 54.214.193.164:  Checking EC2 instance is running.
2013/05/24 17:34:26 - 54.214.193.164:  Connecting via SSH.
2013/05/24 17:34:26 - 54.214.105.192:  Connecting via SSH.
2013/05/24 17:34:33 - 54.214.168.217:  Checking software installation completed.
2013/05/24 17:34:34 - 54.214.168.217:  Software installation finished.
2013/05/24 17:34:34 - 54.214.168.217:  Sending /home/ubuntu/node_health_script via SFTP.
2013/05/24 17:34:34 - 54.214.168.217:  Checking file contents.
2013/05/24 17:34:34 - 54.214.193.211:  Checking software installation completed.
2013/05/24 17:34:34 - 54.214.64.205:   Checking software installation completed.
2013/05/24 17:34:34 - 50.112.208.146:  Checking software installation completed.
2013/05/24 17:34:34 - 54.214.77.164:   Checking software installation completed.
2013/05/24 17:34:34 - 54.244.215.53:   Checking software installation completed.
2013/05/24 17:34:34 - 54.214.183.8:    Checking software installation completed.
2013/05/24 17:34:34 - 54.245.153.228:  Checking software installation completed.
