2012/02/03 18:13:51 - Connecting to AWS region us-west-2.
2012/02/03 18:13:51 - Calculating new unique cluster name for request 97.
2012/02/03 18:13:52 - Creating new cluster name, Thor-TVED.
2012/02/03 18:13:52 - Creating Thor-TVED security group.
2012/02/03 18:13:55 - Creating Thor-TVED key pair.
2012/02/03 18:13:57 - Launching 11 m1.large nodes using ami-94b33ea4.
2012/02/03 18:13:58 - Reservation ID r-a4bdc494 created
2012/02/03 18:13:58 - Waiting for 11 of 11 nodes to launch.
2012/02/03 18:14:06 - Waiting for 11 of 11 nodes to launch.
2012/02/03 18:14:14 - Waiting for 11 of 11 nodes to launch.
2012/02/03 18:14:22 - Waiting for 10 of 11 nodes to launch.
2012/02/03 18:14:29 - Waiting for 5 of 11 nodes to launch.
2012/02/03 18:14:36 - Waiting for 2 of 11 nodes to launch.
2012/02/03 18:14:41 - Waiting for 2 of 11 nodes to launch.
2012/02/03 18:14:47 - Waiting for 1 of 11 nodes to launch.
2012/02/03 18:14:52 - Pending instances have completed.
2012/02/03 18:14:52 - Checking each node launched properly.
2012/02/03 18:15:09 - 50.112.29.109:   Waiting for software to install.
2012/02/03 18:15:09 - 50.112.31.12:    Waiting for software to install.
2012/02/03 18:15:09 - 50.112.52.79:    Waiting for software to install.
2012/02/03 18:15:17 - 50.112.2.98:     Waiting for software to install.
2012/02/03 18:15:17 - 50.112.26.101:   Waiting for software to install.
2012/02/03 18:15:17 - 50.112.36.137:   Waiting for software to install.
2012/02/03 18:15:18 - 50.112.7.177:    Waiting for software to install.
2012/02/03 18:15:18 - 50.112.7.166:    Waiting for software to install.
2012/02/03 18:15:18 - 50.112.31.114:   Waiting for software to install.
2012/02/03 18:15:18 - 50.112.39.196:   Waiting for software to install.
2012/02/03 18:15:19 - 50.112.47.33:    Waiting for software to install.
2012/02/03 18:15:19 - 50.112.29.109:   Waiting for software to install.
2012/02/03 18:15:19 - 50.112.31.12:    Waiting for software to install.
2012/02/03 18:15:20 - 50.112.52.79:    Waiting for software to install.
2012/02/03 18:15:28 - 50.112.2.98:     Software installation finished.
2012/02/03 18:15:28 - 50.112.2.98:     Completed check of node 50.112.2.98.
2012/02/03 18:15:28 - 50.112.26.101:   Software installation finished.
2012/02/03 18:15:28 - 50.112.26.101:   Completed check of node 50.112.26.101.
2012/02/03 18:15:28 - 50.112.36.137:   Waiting for software to install.
2012/02/03 18:15:28 - 50.112.7.177:    Waiting for software to install.
2012/02/03 18:15:28 - 50.112.7.166:    Waiting for software to install.
2012/02/03 18:15:28 - 50.112.31.114:   Software installation finished.
2012/02/03 18:15:29 - 50.112.31.114:   Completed check of node 50.112.31.114.
2012/02/03 18:15:29 - 50.112.39.196:   Waiting for software to install.
2012/02/03 18:15:29 - 50.112.47.33:    Waiting for software to install.
2012/02/03 18:15:29 - 50.112.31.12:    Software installation finished.
2012/02/03 18:15:29 - 50.112.31.12:    Completed check of node 50.112.31.12.
2012/02/03 18:15:29 - 50.112.29.109:   Waiting for software to install.
2012/02/03 18:15:30 - 50.112.52.79:    Waiting for software to install.
2012/02/03 18:15:38 - 50.112.36.137:   Software installation finished.
2012/02/03 18:15:38 - 50.112.36.137:   Completed check of node 50.112.36.137.
2012/02/03 18:15:38 - 50.112.7.177:    Software installation finished.
2012/02/03 18:15:38 - 50.112.7.177:    Completed check of node 50.112.7.177.
2012/02/03 18:15:38 - 50.112.7.166:    Waiting for software to install.
2012/02/03 18:15:39 - 50.112.39.196:   Waiting for software to install.
2012/02/03 18:15:39 - 50.112.47.33:    Waiting for software to install.
2012/02/03 18:15:39 - 50.112.29.109:   Software installation finished.
2012/02/03 18:15:39 - 50.112.29.109:   Completed check of node 50.112.29.109.
2012/02/03 18:15:40 - 50.112.52.79:    Waiting for software to install.
2012/02/03 18:15:49 - 50.112.7.166:    Waiting for software to install.
2012/02/03 18:15:49 - 50.112.39.196:   Software installation finished.
2012/02/03 18:15:49 - 50.112.39.196:   Completed check of node 50.112.39.196.
2012/02/03 18:15:50 - 50.112.47.33:    Software installation finished.
2012/02/03 18:15:50 - 50.112.47.33:    Completed check of node 50.112.47.33.
2012/02/03 18:15:50 - 50.112.52.79:    Software installation finished.
2012/02/03 18:15:50 - 50.112.52.79:    Completed check of node 50.112.52.79.
2012/02/03 18:15:59 - 50.112.7.166:    Waiting for software to install.
2012/02/03 18:16:09 - 50.112.7.166:    Waiting for software to install.
2012/02/03 18:16:19 - 50.112.7.166:    Waiting for software to install.
2012/02/03 18:16:30 - 50.112.7.166:    Waiting for software to install.
2012/02/03 18:16:40 - 50.112.7.166:    Waiting for software to install.
2012/02/03 18:16:50 - 50.112.7.166:    Waiting for software to install.
2012/02/03 18:17:00 - 50.112.7.166:    Waiting for software to install.
2012/02/03 18:17:11 - 50.112.7.166:    Waiting for software to install.
2012/02/03 18:17:21 - 50.112.7.166:    Waiting for software to install.
2012/02/03 18:17:31 - 50.112.7.166:    Waiting for software to install.
2012/02/03 18:17:41 - 50.112.7.166:    Waiting for software to install.
2012/02/03 18:17:52 - 50.112.7.166:    Waiting for software to install.
2012/02/03 18:18:02 - 50.112.7.166:    Waiting for software to install.
2012/02/03 18:18:12 - 50.112.7.166:    Waiting for software to install.
2012/02/03 18:18:22 - 50.112.7.166:    Waiting for software to install.
2012/02/03 18:18:33 - 50.112.7.166:    Waiting for software to install.
2012/02/03 18:18:43 - 50.112.7.166:    Waiting for software to install.
2012/02/03 18:18:53 - 50.112.7.166:    Waiting for software to install.
2012/02/03 18:19:03 - 50.112.7.166:    Waiting for software to install.
2012/02/03 18:19:14 - 50.112.7.166:    Waiting for software to install.
2012/02/03 18:19:24 - 50.112.7.166:    Waiting for software to install.
2012/02/03 18:19:34 - 50.112.7.166:    Waiting for software to install.
2012/02/03 18:19:44 - 50.112.7.166:    Waiting for software to install.
2012/02/03 18:19:54 - 50.112.7.166:    Waiting for software to install.
2012/02/03 18:20:05 - 50.112.7.166:    50.112.7.166: Timed out waiting for software to install..
2012/02/03 18:20:05 - 50.112.7.166:    Error - Node 50.112.7.166 failed check.
2012/02/03 18:20:05 - 50.112.7.166:    Completed check of node 50.112.7.166.
2012/02/03 18:20:05 - Terminating 1 bad instances.
2012/02/03 18:20:05 - Terminating instances.
2012/02/03 18:20:06 - Waiting for 1 instances to terminate.
2012/02/03 18:20:11 - Waiting for 1 instances to terminate.
2012/02/03 18:20:16 - Launching 1 new nodes.
2012/02/03 18:20:17 - Reservation ID r-0ebcc53e created
2012/02/03 18:20:17 - Waiting for 1 of 1 nodes to launch.
2012/02/03 18:20:22 - Waiting for 1 of 1 nodes to launch.
2012/02/03 18:20:27 - Waiting for 1 of 1 nodes to launch.
2012/02/03 18:20:33 - Waiting for 1 of 1 nodes to launch.
2012/02/03 18:20:38 - Waiting for 1 of 1 nodes to launch.
2012/02/03 18:20:43 - Waiting for 1 of 1 nodes to launch.
2012/02/03 18:20:48 - Waiting for 1 of 1 nodes to launch.
2012/02/03 18:20:54 - Waiting for 1 of 1 nodes to launch.
2012/02/03 18:20:59 - Pending instances have completed.
2012/02/03 18:20:59 - Checking each node launched properly.
2012/02/03 18:20:59 - 50.112.34.223:   Checking EC2 instance i-806f28b0.
2012/02/03 18:20:59 - 50.112.34.223:   Checking EC2 instance is running.
2012/02/03 18:20:59 - 50.112.34.223:   Connecting via SSH.
2012/02/03 18:21:00 - 50.112.34.223:   Waiting on SSH connection.
2012/02/03 18:21:10 - 50.112.34.223:   Checking disk I/O
2012/02/03 18:21:10 - 50.112.34.223:   Checking software installation completed.
2012/02/03 18:21:11 - 50.112.34.223:   Waiting for software to install.
2012/02/03 18:21:21 - 50.112.34.223:   Waiting for software to install.
2012/02/03 18:21:31 - 50.112.34.223:   Waiting for software to install.
2012/02/03 18:21:41 - 50.112.34.223:   Waiting for software to install.
2012/02/03 18:21:51 - 50.112.34.223:   Waiting for software to install.
2012/02/03 18:22:02 - 50.112.34.223:   Waiting for software to install.
2012/02/03 18:22:12 - 50.112.34.223:   Software installation finished.
2012/02/03 18:22:12 - 50.112.34.223:   Completed check of node 50.112.34.223.
2012/02/03 18:22:12 - Determining availability zone.
2012/02/03 18:22:12 - Gathering public and private ip addresses.
2012/02/03 18:22:12 - Connecting to node 50.112.7.177 for cluster configuration.
2012/02/03 18:22:12 - Connecting via SSH.
2012/02/03 18:22:13 - Checking disk I/O
2012/02/03 18:22:14 - Checking software installation completed.
2012/02/03 18:22:14 - Software installation finished.
2012/02/03 18:22:14 - Writing cluster private ip addresses to file on instance.
