2014/06/17 15:39:24 - Connecting to AWS region us-west-2.
2014/06/17 15:39:24 - Calculating new unique cluster name for request 819.
2014/06/17 15:39:25 - Creating new cluster name, Hpcc-5SB4.
2014/06/17 15:39:25 - Creating Hpcc-5SB4 security group.
2014/06/17 15:39:27 - Creating Hpcc-5SB4 key pair.
2014/06/17 15:39:29 - Launching 20 m1.large nodes using ami-2aadc71a.
2014/06/17 15:39:30 - Reservation ID r-32837139 created.
2014/06/17 15:39:30 - Waiting for 20 of 20 nodes to launch.
2014/06/17 15:39:38 - Waiting for 20 of 20 nodes to launch.
2014/06/17 15:39:45 - Waiting for 20 of 20 nodes to launch.
2014/06/17 15:39:53 - Waiting for 20 of 20 nodes to launch.
2014/06/17 15:40:00 - Waiting for 20 of 20 nodes to launch.
2014/06/17 15:40:07 - Waiting for 20 of 20 nodes to launch.
2014/06/17 15:40:15 - Waiting for 20 of 20 nodes to launch.
2014/06/17 15:40:22 - Waiting for 20 of 20 nodes to launch.
2014/06/17 15:40:30 - Waiting for 20 of 20 nodes to launch.
2014/06/17 15:40:37 - Waiting for 20 of 20 nodes to launch.
2014/06/17 15:40:45 - Waiting for 17 of 20 nodes to launch.
2014/06/17 15:40:53 - Waiting for 1 of 20 nodes to launch.
2014/06/17 15:40:58 - Pending instances have completed.
2014/06/17 15:40:58 - Checking each node launched properly.
2014/06/17 15:41:01 - 50.112.70.229:   Waiting for software to install.
2014/06/17 15:41:01 - 54.185.206.134:  Waiting for software to install.
2014/06/17 15:41:01 - 54.218.201.135:  Waiting for software to install.
2014/06/17 15:41:05 - 54.189.71.159:   Checking software installation completed.
2014/06/17 15:41:05 - 54.214.83.219:   Checking software installation completed.
2014/06/17 15:41:05 - 54.202.0.103:    Checking software installation completed.
2014/06/17 15:41:05 - 54.245.171.196:  Checking software installation completed.
2014/06/17 15:41:05 - 54.188.41.161:   Checking software installation completed.
2014/06/17 15:41:05 - 54.184.120.132:  Checking software installation completed.
2014/06/17 15:41:05 - 54.189.71.159:   Software installation finished.
2014/06/17 15:41:05 - 54.189.71.159:   Sending /home/ubuntu/node_health_script via SFTP.
2014/06/17 15:41:05 - 54.214.83.219:   Software installation finished.
2014/06/17 15:41:05 - 54.214.83.219:   Sending /home/ubuntu/node_health_script via SFTP.
2014/06/17 15:41:05 - 54.203.199.248:  Checking software installation completed.
2014/06/17 15:41:05 - 54.202.0.103:    Software installation finished.
2014/06/17 15:41:05 - 54.202.0.103:    Sending /home/ubuntu/node_health_script via SFTP.
2014/06/17 15:41:05 - 54.245.217.125:  Checking software installation completed.
2014/06/17 15:41:05 - 54.218.218.172:  Checking software installation completed.
2014/06/17 15:41:05 - 54.184.120.132:  Software installation finished.
2014/06/17 15:41:05 - 54.184.120.132:  Sending /home/ubuntu/node_health_script via SFTP.
2014/06/17 15:41:05 - 54.188.41.161:   Software installation finished.
2014/06/17 15:41:05 - 54.188.41.161:   Sending /home/ubuntu/node_health_script via SFTP.
2014/06/17 15:41:05 - 54.203.42.217:   Checking software installation completed.
2014/06/17 15:41:05 - 54.189.149.232:  Checking software installation completed.
2014/06/17 15:41:05 - 54.203.199.248:  Software installation finished.
2014/06/17 15:41:05 - 54.203.199.248:  Sending /home/ubuntu/node_health_script via SFTP.
2014/06/17 15:41:05 - 54.245.217.125:  Software installation finished.
2014/06/17 15:41:05 - 54.245.217.125:  Sending /home/ubuntu/node_health_script via SFTP.
2014/06/17 15:41:05 - 54.203.4.97:     Checking software installation completed.
2014/06/17 15:41:06 - 54.218.218.172:  Software installation finished.
2014/06/17 15:41:06 - 54.218.218.172:  Sending /home/ubuntu/node_health_script via SFTP.
2014/06/17 15:41:06 - 54.189.71.159:   Checking file contents.
2014/06/17 15:41:06 - 54.184.235.119:  Checking software installation completed.
2014/06/17 15:41:06 - 54.214.83.219:   Checking file contents.
2014/06/17 15:41:06 - 54.202.0.103:    Checking file contents.
2014/06/17 15:41:06 - 54.245.171.196:  Software installation finished.
2014/06/17 15:41:06 - 54.245.171.196:  Sending /home/ubuntu/node_health_script via SFTP.
2014/06/17 15:41:06 - 54.189.149.232:  Software installation finished.
2014/06/17 15:41:06 - 54.189.149.232:  Sending /home/ubuntu/node_health_script via SFTP.
2014/06/17 15:41:06 - 54.203.42.217:   Software installation finished.
2014/06/17 15:41:06 - 54.203.42.217:   Sending /home/ubuntu/node_health_script via SFTP.
2014/06/17 15:41:06 - 54.188.41.161:   Checking file contents.
2014/06/17 15:41:06 - 54.184.120.132:  Checking file contents.
2014/06/17 15:41:06 - 54.189.71.159:   Remote file contents confirmed.
2014/06/17 15:41:06 - 54.214.83.219:   Remote file contents confirmed.
2014/06/17 15:41:06 - 54.184.235.119:  Software installation finished.
2014/06/17 15:41:06 - 54.184.235.119:  Sending /home/ubuntu/node_health_script via SFTP.
2014/06/17 15:41:06 - 54.245.217.125:  Checking file contents.
2014/06/17 15:41:06 - 54.202.0.103:    Remote file contents confirmed.
