2012/10/19 07:47:00 - Connecting to AWS region us-west-2.
2012/10/19 07:47:00 - Calculating new unique cluster name for request 352.
2012/10/19 07:47:01 - Creating new cluster name, Hpcc-5N28.
2012/10/19 07:47:01 - Creating Hpcc-5N28 security group.
2012/10/19 07:47:06 - Creating Hpcc-5N28 key pair.
2012/10/19 07:47:08 - Launching 11 m1.large nodes using ami-bcd4588c.
2012/10/19 07:47:09 - Reservation ID r-d30a75e0 created.
2012/10/19 07:47:09 - Waiting for 11 of 11 nodes to launch.
2012/10/19 07:47:17 - Waiting for 11 of 11 nodes to launch.
2012/10/19 07:47:25 - Waiting for 11 of 11 nodes to launch.
2012/10/19 07:47:33 - Waiting for 11 of 11 nodes to launch.
2012/10/19 07:47:41 - Waiting for 11 of 11 nodes to launch.
2012/10/19 07:47:49 - Waiting for 11 of 11 nodes to launch.
2012/10/19 07:47:57 - Waiting for 11 of 11 nodes to launch.
2012/10/19 07:48:05 - Waiting for 10 of 11 nodes to launch.
2012/10/19 07:48:13 - Waiting for 9 of 11 nodes to launch.
2012/10/19 07:48:21 - Waiting for 6 of 11 nodes to launch.
2012/10/19 07:48:28 - Waiting for 3 of 11 nodes to launch.
2012/10/19 07:48:33 - Waiting for 2 of 11 nodes to launch.
2012/10/19 07:48:39 - Waiting for 1 of 11 nodes to launch.
2012/10/19 07:48:44 - Waiting for 1 of 11 nodes to launch.
2012/10/19 07:48:50 - Waiting for 1 of 11 nodes to launch.
2012/10/19 07:48:55 - Waiting for 1 of 11 nodes to launch.
2012/10/19 07:49:00 - Waiting for 1 of 11 nodes to launch.
2012/10/19 07:49:05 - Pending instances have completed.
2012/10/19 07:49:05 - Checking each node launched properly.
2012/10/19 07:49:09 - 50.112.9.206:    Sending /home/ubuntu/node_health_script via SFTP.
2012/10/19 07:49:09 - 50.112.66.190:   Software installation finished.
2012/10/19 07:49:09 - 50.112.66.190:   Sending /home/ubuntu/node_health_script via SFTP.
2012/10/19 07:49:09 - 54.245.39.38:    Remote file contents confirmed.
2012/10/19 07:49:09 - 50.112.14.242:   Checking file contents.
2012/10/19 07:49:09 - 54.245.47.169:   Checking file contents.
2012/10/19 07:49:09 - 54.245.48.39:    Checking file contents.
2012/10/19 07:49:09 - 50.112.24.239:   Checking file contents.
2012/10/19 07:49:09 - 50.112.43.105:   Checking file contents.
2012/10/19 07:49:09 - 50.112.32.22:    Checking file contents.
2012/10/19 07:49:09 - 50.112.63.31:    Checking file contents.
2012/10/19 07:49:09 - 50.112.9.206:    Checking file contents.
2012/10/19 07:49:09 - 50.112.66.190:   Checking file contents.
2012/10/19 07:49:09 - 50.112.14.242:   Remote file contents confirmed.
2012/10/19 07:49:09 - 54.245.47.169:   Remote file contents confirmed.
2012/10/19 07:49:09 - 54.245.48.39:    Remote file contents confirmed.
2012/10/19 07:49:09 - 50.112.24.239:   Remote file contents confirmed.
2012/10/19 07:49:09 - 50.112.43.105:   Remote file contents confirmed.
2012/10/19 07:49:09 - 50.112.32.22:    Remote file contents confirmed.
2012/10/19 07:49:09 - 50.112.63.31:    Remote file contents confirmed.
2012/10/19 07:49:09 - 50.112.9.206:    Remote file contents confirmed.
2012/10/19 07:49:09 - 54.245.39.38:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/10/19 07:49:09 - 50.112.66.190:   Remote file contents confirmed.
2012/10/19 07:49:10 - 54.245.39.38:    Completed check of node 54.245.39.38.
2012/10/19 07:49:10 - 50.112.14.242:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/10/19 07:49:10 - 50.112.14.242:   Completed check of node 50.112.14.242.
2012/10/19 07:49:10 - 54.245.48.39:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/10/19 07:49:10 - 54.245.48.39:    Completed check of node 54.245.48.39.
2012/10/19 07:49:10 - 54.245.47.169:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/10/19 07:49:10 - 54.245.47.169:   Completed check of node 54.245.47.169.
2012/10/19 07:49:10 - 50.112.24.239:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/10/19 07:49:10 - 50.112.24.239:   Completed check of node 50.112.24.239.
2012/10/19 07:49:10 - 50.112.43.105:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
