2012/11/20 04:25:22 - Connecting to AWS region us-west-2.
2012/11/20 04:25:22 - Calculating new unique cluster name for request 412.
2012/11/20 04:25:22 - Creating new cluster name, Hpcc-2M4P.
2012/11/20 04:25:22 - Creating Hpcc-2M4P security group.
2012/11/20 04:25:26 - Creating Hpcc-2M4P key pair.
2012/11/20 04:25:27 - Launching 13 m1.large nodes using ami-e01698d0.
2012/11/20 04:25:28 - Reservation ID r-07684834 created.
2012/11/20 04:25:28 - Waiting for 13 of 13 nodes to launch.
2012/11/20 04:25:37 - Waiting for 13 of 13 nodes to launch.
2012/11/20 04:25:45 - Waiting for 13 of 13 nodes to launch.
2012/11/20 04:25:54 - Waiting for 13 of 13 nodes to launch.
2012/11/20 04:26:02 - Waiting for 13 of 13 nodes to launch.
2012/11/20 04:26:11 - Waiting for 13 of 13 nodes to launch.
2012/11/20 04:26:20 - Waiting for 10 of 13 nodes to launch.
2012/11/20 04:26:28 - Waiting for 6 of 13 nodes to launch.
2012/11/20 04:26:35 - Waiting for 4 of 13 nodes to launch.
2012/11/20 04:26:41 - Waiting for 2 of 13 nodes to launch.
2012/11/20 04:26:47 - Waiting for 2 of 13 nodes to launch.
2012/11/20 04:26:52 - Waiting for 1 of 13 nodes to launch.
2012/11/20 04:26:57 - Pending instances have completed.
2012/11/20 04:26:57 - Checking each node launched properly.
2012/11/20 04:27:07 - 54.245.29.21:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/11/20 04:27:07 - 54.245.29.21:    Completed check of node 54.245.29.21.
2012/11/20 04:27:07 - 54.245.37.86:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/11/20 04:27:07 - 54.245.37.86:    Completed check of node 54.245.37.86.
2012/11/20 04:27:07 - 54.245.140.111:  No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/11/20 04:27:07 - 54.245.140.111:  Completed check of node 54.245.140.111.
2012/11/20 04:27:07 - 50.112.8.210:    Remote file contents confirmed.
2012/11/20 04:27:07 - 50.112.230.251:  No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/11/20 04:27:07 - 50.112.230.251:  Completed check of node 50.112.230.251.
2012/11/20 04:27:07 - 54.245.32.49:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/11/20 04:27:07 - 54.245.32.49:    Completed check of node 54.245.32.49.
2012/11/20 04:27:07 - 50.112.30.220:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/11/20 04:27:07 - 50.112.30.220:   Completed check of node 50.112.30.220.
2012/11/20 04:27:07 - 54.245.46.17:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/11/20 04:27:07 - 54.245.46.17:    Completed check of node 54.245.46.17.
