2012/12/03 06:15:55 - 54.245.139.160:  Checking software installation completed.
2012/12/03 06:15:55 - 54.245.5.23:     Software installation finished.
2012/12/03 06:15:55 - 54.245.5.23:     Sending /home/ubuntu/node_health_script via SFTP.
2012/12/03 06:15:55 - 54.245.133.233:  Software installation finished.
2012/12/03 06:15:55 - 54.245.133.233:  Sending /home/ubuntu/node_health_script via SFTP.
2012/12/03 06:15:55 - 50.112.56.42:    Checking software installation completed.
2012/12/03 06:15:55 - 54.245.35.146:   Checking software installation completed.
2012/12/03 06:15:55 - 50.112.212.31:   Software installation finished.
2012/12/03 06:15:55 - 50.112.212.31:   Sending /home/ubuntu/node_health_script via SFTP.
2012/12/03 06:15:55 - 50.112.213.254:  Software installation finished.
2012/12/03 06:15:55 - 50.112.213.254:  Sending /home/ubuntu/node_health_script via SFTP.
2012/12/03 06:15:55 - 54.245.43.241:   Checking file contents.
2012/12/03 06:15:55 - 54.245.139.160:  Software installation finished.
2012/12/03 06:15:55 - 54.245.139.160:  Sending /home/ubuntu/node_health_script via SFTP.
2012/12/03 06:15:55 - 54.245.135.111:  Checking software installation completed.
2012/12/03 06:15:56 - 54.245.10.149:   Checking software installation completed.
2012/12/03 06:15:56 - 50.112.56.42:    Software installation finished.
2012/12/03 06:15:56 - 50.112.56.42:    Sending /home/ubuntu/node_health_script via SFTP.
2012/12/03 06:15:56 - 54.245.35.146:   Software installation finished.
2012/12/03 06:15:56 - 54.245.35.146:   Sending /home/ubuntu/node_health_script via SFTP.
2012/12/03 06:15:56 - 54.245.43.241:   Remote file contents confirmed.
2012/12/03 06:15:56 - 54.245.135.111:  Software installation finished.
2012/12/03 06:15:56 - 54.245.135.111:  Sending /home/ubuntu/node_health_script via SFTP.
2012/12/03 06:15:56 - 54.245.5.23:     Checking file contents.
2012/12/03 06:15:56 - 54.245.133.233:  Checking file contents.
2012/12/03 06:15:56 - 54.245.10.149:   Software installation finished.
2012/12/03 06:15:56 - 54.245.10.149:   Sending /home/ubuntu/node_health_script via SFTP.
2012/12/03 06:15:56 - 50.112.212.31:   Checking file contents.
2012/12/03 06:15:56 - 54.245.139.160:  Checking file contents.
2012/12/03 06:15:56 - 50.112.213.254:  Checking file contents.
2012/12/03 06:15:56 - 54.245.5.23:     Remote file contents confirmed.
2012/12/03 06:15:56 - 54.245.133.233:  Remote file contents confirmed.
2012/12/03 06:15:56 - 50.112.212.31:   Remote file contents confirmed.
2012/12/03 06:15:56 - 54.245.139.160:  Remote file contents confirmed.
2012/12/03 06:15:56 - 50.112.213.254:  Remote file contents confirmed.
2012/12/03 06:15:56 - 50.112.56.42:    Checking file contents.
2012/12/03 06:15:56 - 54.245.135.111:  Checking file contents.
2012/12/03 06:15:56 - 54.245.35.146:   Checking file contents.
2012/12/03 06:15:57 - 54.245.10.149:   Checking file contents.
2012/12/03 06:15:57 - 54.245.43.241:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/12/03 06:15:57 - 54.245.43.241:   Completed check of node 54.245.43.241.
2012/12/03 06:15:57 - 50.112.56.42:    Remote file contents confirmed.
2012/12/03 06:15:57 - 54.245.135.111:  Remote file contents confirmed.
2012/12/03 06:15:57 - 54.245.35.146:   Remote file contents confirmed.
2012/12/03 06:15:57 - 54.245.10.149:   Remote file contents confirmed.
2012/12/03 06:15:57 - 54.245.5.23:     No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/12/03 06:15:57 - 54.245.5.23:     Completed check of node 54.245.5.23.
2012/12/03 06:15:57 - 54.245.133.233:  No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/12/03 06:15:57 - 54.245.133.233:  Completed check of node 54.245.133.233.
2012/12/03 06:15:57 - 54.245.139.160:  No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/12/03 06:15:57 - 50.112.212.31:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/12/03 06:15:57 - 50.112.213.254:  No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/12/03 06:15:57 - 50.112.213.254:  Completed check of node 50.112.213.254.
2012/12/03 06:15:57 - 54.245.139.160:  Completed check of node 54.245.139.160.
2012/12/03 06:15:57 - 50.112.212.31:   Completed check of node 50.112.212.31.
