2013/09/25 21:53:28 - Connecting to AWS region us-west-2.
2013/09/25 21:53:28 - Calculating new unique cluster name for request 707.
2013/09/25 21:53:28 - Creating new cluster name, Hpcc-V4UW.
2013/09/25 21:53:28 - Creating Hpcc-V4UW security group.
2013/09/25 21:53:32 - Creating Hpcc-V4UW key pair.
2013/09/25 21:53:32 - Launching 18 m1.large nodes using ami-221d8012.
2013/09/25 21:53:33 - Reservation ID r-a88f9e9c created.
2013/09/25 21:53:33 - Waiting for 18 of 18 nodes to launch.
2013/09/25 21:53:43 - Waiting for 18 of 18 nodes to launch.
2013/09/25 21:53:51 - Waiting for 18 of 18 nodes to launch.
2013/09/25 21:54:00 - Waiting for 18 of 18 nodes to launch.
2013/09/25 21:54:08 - Waiting for 18 of 18 nodes to launch.
2013/09/25 21:54:17 - Waiting for 18 of 18 nodes to launch.
2013/09/25 21:54:26 - Waiting for 17 of 18 nodes to launch.
2013/09/25 21:54:36 - Waiting for 15 of 18 nodes to launch.
2013/09/25 21:54:45 - Waiting for 13 of 18 nodes to launch.
2013/09/25 21:54:54 - Waiting for 3 of 18 nodes to launch.
2013/09/25 21:54:59 - Pending instances have completed.
2013/09/25 21:54:59 - Checking each node launched properly.
2013/09/25 21:55:08 - 54.244.194.29:   Software installation finished.
2013/09/25 21:55:08 - 54.244.194.29:   Sending /home/ubuntu/node_health_script via SFTP.
2013/09/25 21:55:08 - 54.202.50.19:    Software installation finished.
2013/09/25 21:55:08 - 54.202.50.19:    Sending /home/ubuntu/node_health_script via SFTP.
2013/09/25 21:55:08 - 54.202.40.204:   Checking file contents.
2013/09/25 21:55:08 - 54.245.147.242:  Software installation finished.
2013/09/25 21:55:08 - 54.245.147.242:  Sending /home/ubuntu/node_health_script via SFTP.
2013/09/25 21:55:08 - 54.202.90.216:   Software installation finished.
2013/09/25 21:55:08 - 54.202.90.216:   Sending /home/ubuntu/node_health_script via SFTP.
2013/09/25 21:55:08 - 50.112.229.83:   Software installation finished.
2013/09/25 21:55:08 - 50.112.229.83:   Sending /home/ubuntu/node_health_script via SFTP.
2013/09/25 21:55:08 - 54.245.184.190:  Checking software installation completed.
2013/09/25 21:55:08 - 50.112.72.109:   Software installation finished.
2013/09/25 21:55:08 - 50.112.72.109:   Sending /home/ubuntu/node_health_script via SFTP.
2013/09/25 21:55:08 - 54.244.87.213:   Software installation finished.
2013/09/25 21:55:08 - 54.244.87.213:   Sending /home/ubuntu/node_health_script via SFTP.
2013/09/25 21:55:08 - 54.202.34.107:   Software installation finished.
2013/09/25 21:55:08 - 54.202.34.107:   Sending /home/ubuntu/node_health_script via SFTP.
2013/09/25 21:55:08 - 54.214.173.52:   Checking file contents.
2013/09/25 21:55:08 - 54.212.85.162:   Checking file contents.
2013/09/25 21:55:08 - 54.245.39.107:   Remote file contents confirmed.
2013/09/25 21:55:08 - 54.244.80.122:   Checking file contents.
2013/09/25 21:55:08 - 50.112.3.239:    Checking file contents.
2013/09/25 21:55:08 - 54.202.40.204:   Remote file contents confirmed.
2013/09/25 21:55:09 - 54.214.98.238:   Checking file contents.
2013/09/25 21:55:09 - 54.202.50.19:    Checking file contents.
2013/09/25 21:55:09 - 54.245.184.190:  Software installation finished.
2013/09/25 21:55:09 - 54.245.184.190:  Sending /home/ubuntu/node_health_script via SFTP.
2013/09/25 21:55:09 - 54.244.194.29:   Checking file contents.
2013/09/25 21:55:09 - 54.212.85.162:   Remote file contents confirmed.
2013/09/25 21:55:09 - 54.245.147.242:  Checking file contents.
2013/09/25 21:55:09 - 54.202.90.216:   Checking file contents.
2013/09/25 21:55:09 - 54.214.173.52:   Remote file contents confirmed.
2013/09/25 21:55:09 - 54.244.80.122:   Remote file contents confirmed.
2013/09/25 21:55:09 - 50.112.3.239:    Remote file contents confirmed.
2013/09/25 21:55:09 - 54.244.87.213:   Checking file contents.
2013/09/25 21:55:09 - 50.112.229.83:   Checking file contents.
2013/09/25 21:55:09 - 54.202.34.107:   Checking file contents.
2013/09/25 21:55:09 - 54.214.98.238:   Remote file contents confirmed.
2013/09/25 21:55:09 - 54.202.50.19:    Remote file contents confirmed.
2013/09/25 21:55:09 - 50.112.72.109:   Checking file contents.
2013/09/25 21:55:09 - 54.244.194.29:   Remote file contents confirmed.
2013/09/25 21:55:09 - 54.245.147.242:  Remote file contents confirmed.
2013/09/25 21:55:09 - 54.202.90.216:   Remote file contents confirmed.
2013/09/25 21:55:09 - 54.244.87.213:   Remote file contents confirmed.
2013/09/25 21:55:09 - 50.112.229.83:   Remote file contents confirmed.
2013/09/25 21:55:09 - 54.245.184.190:  Checking file contents.
2013/09/25 21:55:09 - 54.202.34.107:   Remote file contents confirmed.
2013/09/25 21:55:09 - 54.245.39.107:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/09/25 21:55:09 - 54.245.39.107:   Completed check of node 54.245.39.107.
2013/09/25 21:55:09 - 50.112.72.109:   Remote file contents confirmed.
2013/09/25 21:55:09 - 54.202.40.204:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/09/25 21:55:09 - 54.212.85.162:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/09/25 21:55:09 - 54.212.85.162:   Completed check of node 54.212.85.162.
2013/09/25 21:55:09 - 54.245.184.190:  Remote file contents confirmed.
2013/09/25 21:55:09 - 54.244.80.122:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/09/25 21:55:09 - 54.244.80.122:   Completed check of node 54.244.80.122.
2013/09/25 21:55:09 - 54.202.40.204:   Completed check of node 54.202.40.204.
2013/09/25 21:55:10 - 54.214.173.52:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/09/25 21:55:10 - 54.214.173.52:   Completed check of node 54.214.173.52.
2013/09/25 21:55:10 - 50.112.3.239:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/09/25 21:55:10 - 50.112.3.239:    Completed check of node 50.112.3.239.
2013/09/25 21:55:10 - 54.202.50.19:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/09/25 21:55:10 - 54.202.50.19:    Completed check of node 54.202.50.19.
2013/09/25 21:55:10 - 54.214.98.238:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/09/25 21:55:10 - 54.214.98.238:   Completed check of node 54.214.98.238.
2013/09/25 21:55:10 - 54.214.157.4:    Checking software installation completed.
2013/09/25 21:55:10 - 54.245.147.242:  No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/09/25 21:55:10 - 54.245.147.242:  Completed check of node 54.245.147.242.
2013/09/25 21:55:10 - 54.244.194.29:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/09/25 21:55:10 - 54.244.194.29:   Completed check of node 54.244.194.29.
2013/09/25 21:55:10 - 54.244.87.213:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/09/25 21:55:10 - 54.244.87.213:   Completed check of node 54.244.87.213.
2013/09/25 21:55:10 - 54.202.90.216:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/09/25 21:55:10 - 54.202.90.216:   Completed check of node 54.202.90.216.
2013/09/25 21:55:10 - 50.112.229.83:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/09/25 21:55:10 - 50.112.229.83:   Completed check of node 50.112.229.83.
2013/09/25 21:55:10 - 54.202.34.107:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/09/25 21:55:10 - 54.202.34.107:   Completed check of node 54.202.34.107.
2013/09/25 21:55:10 - 50.112.72.109:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/09/25 21:55:10 - 54.214.157.4:    Software installation finished.
2013/09/25 21:55:10 - 54.214.157.4:    Sending /home/ubuntu/node_health_script via SFTP.
2013/09/25 21:55:10 - 50.112.72.109:   Completed check of node 50.112.72.109.
2013/09/25 21:55:10 - 54.245.184.190:  No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/09/25 21:55:10 - 54.245.184.190:  Completed check of node 54.245.184.190.
2013/09/25 21:55:10 - 54.214.157.4:    Checking file contents.
2013/09/25 21:55:11 - 54.214.157.4:    Remote file contents confirmed.
2013/09/25 21:55:11 - 50.112.228.239:  Checking software installation completed.
2013/09/25 21:55:12 - 54.214.157.4:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/09/25 21:55:12 - 54.214.157.4:    Completed check of node 54.214.157.4.
2013/09/25 21:55:12 - 50.112.228.239:  Software installation finished.
2013/09/25 21:55:12 - 50.112.228.239:  Sending /home/ubuntu/node_health_script via SFTP.
2013/09/25 21:55:12 - 50.112.228.239:  Checking file contents.
2013/09/25 21:55:12 - 50.112.228.239:  Remote file contents confirmed.
2013/09/25 21:55:13 - 50.112.228.239:  No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/09/25 21:55:13 - 50.112.228.239:  Completed check of node 50.112.228.239.
2013/09/25 21:55:13 - Determining availability zone.
2013/09/25 21:55:13 - Gathering public and private ip addresses.
2013/09/25 21:55:13 - Connecting to node 54.202.50.19 for cluster configuration.
2013/09/25 21:55:13 - Connecting via SSH.
2013/09/25 21:55:15 - Checking software installation completed.
2013/09/25 21:55:15 - Software installation finished.
2013/09/25 21:55:15 - Sending /home/ubuntu/node_health_script via SFTP.
2013/09/25 21:55:15 - Checking file contents.
2013/09/25 21:55:16 - Remote file contents confirmed.
2013/09/25 21:55:16 - No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/09/25 21:55:16 - Writing cluster private ip addresses to file on instance.
2013/09/25 21:55:16 - Sending /etc/HPCCSystems/source/ips.txt via SFTP.
2013/09/25 21:55:17 - Copying /etc/HPCCSystems/source/ips.txt to desitnation.
2013/09/25 21:55:17 - Checking file contents.
2013/09/25 21:55:23 - Remote file contents confirmed.
2013/09/25 21:55:23 - Running envgen
2013/09/25 21:55:24 - Reading the config file.
2013/09/25 21:55:24 - Retrieving IP address of ESP Server.
2013/09/25 21:55:24 - ESP Server private IP address: 10.253.0.237.
2013/09/25 21:55:24 - ESP Server public IP address: 54.202.50.19.
2013/09/25 21:55:24 - 54.202.50.19:    Starting node configuration.
2013/09/25 21:55:24 - 50.112.229.83:   Starting node configuration.
2013/09/25 21:55:24 - 50.112.229.83:   Connecting via SSH.
2013/09/25 21:55:24 - 54.202.50.19:    Connecting via SSH.
2013/09/25 21:55:24 - 54.245.147.242:  Starting node configuration.
2013/09/25 21:55:24 - 54.245.147.242:  Connecting via SSH.
2013/09/25 21:55:24 - 50.112.72.109:   Starting node configuration.
2013/09/25 21:55:24 - 54.202.90.216:   Starting node configuration.
2013/09/25 21:55:24 - 54.244.80.122:   Starting node configuration.
2013/09/25 21:55:24 - 54.212.85.162:   Starting node configuration.
2013/09/25 21:55:24 - 50.112.72.109:   Connecting via SSH.
2013/09/25 21:55:24 - 54.202.90.216:   Connecting via SSH.
2013/09/25 21:55:24 - 54.212.85.162:   Connecting via SSH.
2013/09/25 21:55:24 - 54.244.80.122:   Connecting via SSH.
2013/09/25 21:55:24 - 50.112.3.239:    Starting node configuration.
2013/09/25 21:55:25 - 50.112.3.239:    Connecting via SSH.
2013/09/25 21:55:25 - 54.245.184.190:  Starting node configuration.
2013/09/25 21:55:25 - 54.245.184.190:  Connecting via SSH.
2013/09/25 21:55:25 - 54.202.40.204:   Starting node configuration.
2013/09/25 21:55:25 - 54.202.40.204:   Connecting via SSH.
2013/09/25 21:55:25 - 54.214.173.52:   Starting node configuration.
2013/09/25 21:55:25 - 54.214.98.238:   Starting node configuration.
2013/09/25 21:55:25 - 50.112.228.239:  Starting node configuration.
2013/09/25 21:55:25 - 54.214.98.238:   Connecting via SSH.
2013/09/25 21:55:25 - 50.112.228.239:  Connecting via SSH.
2013/09/25 21:55:25 - 54.244.87.213:   Starting node configuration.
2013/09/25 21:55:25 - 54.214.173.52:   Connecting via SSH.
2013/09/25 21:55:25 - 54.244.87.213:   Connecting via SSH.
2013/09/25 21:55:25 - 54.214.157.4:    Starting node configuration.
2013/09/25 21:55:25 - 54.202.34.107:   Starting node configuration.
2013/09/25 21:55:25 - 54.245.39.107:   Starting node configuration.
2013/09/25 21:55:25 - 54.244.194.29:   Starting node configuration.
2013/09/25 21:55:25 - 54.245.39.107:   Connecting via SSH.
2013/09/25 21:55:25 - 54.244.194.29:   Connecting via SSH.
2013/09/25 21:55:25 - 54.214.157.4:    Connecting via SSH.
2013/09/25 21:55:25 - 54.202.34.107:   Connecting via SSH.
2013/09/25 21:55:27 - 54.202.40.204:   Checking software installation completed.
2013/09/25 21:55:27 - 54.202.50.19:    Checking software installation completed.
2013/09/25 21:55:27 - 54.202.90.216:   Checking software installation completed.
