2012/01/31 22:45:41 - Connecting to AWS region us-west-2.
2012/01/31 22:45:41 - Calculating new unique cluster name for request 69.
2012/01/31 22:45:42 - Creating new cluster name, Thor-V3DN.
2012/01/31 22:45:42 - Creating Thor-V3DN security group.
2012/01/31 22:45:46 - Creating Thor-V3DN key pair.
2012/01/31 22:45:46 - Launching 11 m1.large nodes using ami-94b33ea4.
2012/01/31 22:45:47 - Reservation ID r-46c1be76 created
2012/01/31 22:45:47 - Waiting for 11 of 11 nodes to launch.
2012/01/31 22:45:55 - Waiting for 11 of 11 nodes to launch.
2012/01/31 22:46:04 - Waiting for 11 of 11 nodes to launch.
2012/01/31 22:46:11 - Waiting for 9 of 11 nodes to launch.
2012/01/31 22:46:19 - Waiting for 2 of 11 nodes to launch.
2012/01/31 22:46:24 - Pending instances have completed.
2012/01/31 22:46:24 - Checking each node launched properly.
2012/01/31 22:46:37 - 50.112.26.44:    Waiting for software to install.
2012/01/31 22:46:39 - 50.112.17.43:    Waiting for software to install.
2012/01/31 22:46:39 - 50.112.47.150:   Waiting for software to install.
2012/01/31 22:46:39 - 50.112.5.95:     Waiting for software to install.
2012/01/31 22:46:39 - 50.112.50.234:   Waiting for software to install.
2012/01/31 22:46:39 - 50.112.19.20:    Waiting for software to install.
2012/01/31 22:46:40 - 50.112.46.41:    Waiting for software to install.
2012/01/31 22:46:40 - 50.112.48.254:   Waiting for software to install.
2012/01/31 22:46:40 - 50.112.26.73:    Waiting for software to install.
2012/01/31 22:46:41 - 50.112.4.145:    Waiting for software to install.
2012/01/31 22:46:41 - 50.112.22.21:    Waiting for software to install.
2012/01/31 22:46:47 - 50.112.26.44:    Waiting for software to install.
2012/01/31 22:46:49 - 50.112.17.43:    Waiting for software to install.
2012/01/31 22:46:49 - 50.112.47.150:   Waiting for software to install.
2012/01/31 22:46:49 - 50.112.5.95:     Waiting for software to install.
2012/01/31 22:46:50 - 50.112.50.234:   Waiting for software to install.
2012/01/31 22:46:50 - 50.112.19.20:    Waiting for software to install.
2012/01/31 22:46:50 - 50.112.46.41:    Waiting for software to install.
2012/01/31 22:46:51 - 50.112.48.254:   Waiting for software to install.
2012/01/31 22:46:51 - 50.112.26.73:    Waiting for software to install.
2012/01/31 22:46:51 - 50.112.4.145:    Waiting for software to install.
2012/01/31 22:46:52 - 50.112.22.21:    Waiting for software to install.
