2014/07/28 16:55:27 - Connecting to AWS region us-west-2.
2014/07/28 16:55:27 - Calculating new unique cluster name for request 882.
2014/07/28 16:55:27 - Creating new cluster name, Hpcc-ED54.
2014/07/28 16:55:27 - Creating Hpcc-ED54 security group.
2014/07/28 16:55:30 - Creating Hpcc-ED54 key pair.
2014/07/28 16:55:31 - Launching 10 m1.large nodes using ami-2aadc71a.
2014/07/28 16:58:31 - 54.200.17.44:    Sending /home/ubuntu/node_health_script via SFTP.
2014/07/28 16:58:31 - 54.200.16.178:   Software installation finished.
2014/07/28 16:58:31 - 54.200.16.178:   Sending /home/ubuntu/node_health_script via SFTP.
2014/07/28 16:58:31 - 54.200.17.4:     Software installation finished.
2014/07/28 16:58:31 - 54.200.17.4:     Sending /home/ubuntu/node_health_script via SFTP.
2014/07/28 16:58:31 - 54.200.17.53:    Checking software installation completed.
2014/07/28 16:58:31 - 54.200.16.216:   Checking file contents.
2014/07/28 16:58:31 - 54.200.17.25:    Remote file contents confirmed.
2014/07/28 16:58:32 - 54.200.16.212:   Remote file contents confirmed.
2014/07/28 16:58:32 - 54.200.16.164:   Checking file contents.
2014/07/28 16:58:32 - 54.200.16.216:   Remote file contents confirmed.
2014/07/28 16:58:32 - 54.200.17.53:    Software installation finished.
2014/07/28 16:58:32 - 54.200.17.53:    Sending /home/ubuntu/node_health_script via SFTP.
2014/07/28 16:58:32 - 54.200.16.178:   Checking file contents.
2014/07/28 16:58:32 - 54.200.17.44:    Checking file contents.
2014/07/28 16:58:32 - 54.200.16.187:   Checking file contents.
2014/07/28 16:58:32 - 54.200.17.4:     Checking file contents.
2014/07/28 16:58:32 - 54.200.16.164:   Remote file contents confirmed.
2014/07/28 16:58:32 - 54.200.17.44:    Remote file contents confirmed.
2014/07/28 16:58:32 - 54.200.16.178:   Remote file contents confirmed.
2014/07/28 16:58:32 - 54.200.16.187:   Remote file contents confirmed.
2014/07/28 16:58:32 - 54.200.17.4:     Remote file contents confirmed.
2014/07/28 16:58:32 - 54.200.17.53:    Checking file contents.
2014/07/28 16:58:32 - 54.200.16.212:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2014/07/28 16:58:32 - 54.200.16.212:   Completed check of node 54.200.16.212.
2014/07/28 16:58:32 - 54.200.16.216:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2014/07/28 16:58:32 - 54.200.16.216:   Completed check of node 54.200.16.216.
2014/07/28 16:58:32 - 54.200.17.25:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2014/07/28 16:58:32 - 54.200.17.25:    Completed check of node 54.200.17.25.
2014/07/28 16:58:32 - 54.200.17.53:    Remote file contents confirmed.
2014/07/28 16:58:32 - 54.200.16.164:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2014/07/28 16:58:32 - 54.200.16.164:   Completed check of node 54.200.16.164.
2014/07/28 16:58:32 - 54.200.17.44:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2014/07/28 16:58:32 - 54.200.17.44:    Completed check of node 54.200.17.44.
2014/07/28 16:58:33 - 54.200.16.187:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
