2012/02/17 15:21:19 - Connecting to AWS region us-west-2.
2012/02/17 15:21:19 - Calculating new unique cluster name for request 147.
2012/02/17 15:21:20 - Creating new cluster name, Thor-PDJT.
2012/02/17 15:21:20 - Creating Thor-PDJT security group.
2012/02/17 15:21:24 - Creating Thor-PDJT key pair.
2012/02/17 15:21:25 - Launching 11 m1.large nodes using ami-94b33ea4.
2012/02/17 15:21:25 - Reservation ID r-601a5b50 created.
2012/02/17 15:21:25 - Waiting for 11 of 11 nodes to launch.
2012/02/17 15:21:34 - Waiting for 11 of 11 nodes to launch.
2012/02/17 15:21:42 - Waiting for 11 of 11 nodes to launch.
2012/02/17 15:21:50 - Waiting for 10 of 11 nodes to launch.
2012/02/17 15:21:57 - Waiting for 1 of 11 nodes to launch.
2012/02/17 15:22:03 - Waiting for 1 of 11 nodes to launch.
2012/02/17 15:22:08 - Pending instances have completed.
2012/02/17 15:22:08 - Checking each node launched properly.
2012/02/17 15:22:35 - 50.112.16.60:    Waiting for software to install.
2012/02/17 15:22:35 - 50.112.34.179:   Waiting for software to install.
2012/02/17 15:22:40 - 50.112.48.31:    Waiting for software to install.
2012/02/17 15:22:43 - 50.112.49.228:   Waiting for software to install.
2012/02/17 15:22:44 - 50.112.56.107:   Waiting for software to install.
2012/02/17 15:22:44 - 50.112.21.152:   Waiting for software to install.
2012/02/17 15:22:44 - 50.112.51.122:   Waiting for software to install.
2012/02/17 15:22:44 - 50.112.47.92:    Waiting for software to install.
2012/02/17 15:22:45 - 50.112.6.179:    Waiting for software to install.
2012/02/17 15:22:45 - 50.112.22.225:   Waiting for software to install.
2012/02/17 15:22:45 - 50.112.33.22:    Waiting for software to install.
2012/02/17 15:22:45 - 50.112.16.60:    Waiting for software to install.
2012/02/17 15:22:45 - 50.112.34.179:   Waiting for software to install.
2012/02/17 15:22:50 - 50.112.48.31:    Waiting for software to install.
2012/02/17 15:22:54 - 50.112.49.228:   Waiting for software to install.
2012/02/17 15:22:54 - 50.112.56.107:   Waiting for software to install.
2012/02/17 15:22:54 - 50.112.21.152:   Waiting for software to install.
2012/02/17 15:22:54 - 50.112.51.122:   Waiting for software to install.
2012/02/17 15:22:54 - 50.112.47.92:    Waiting for software to install.
2012/02/17 15:22:55 - 50.112.6.179:    Waiting for software to install.
2012/02/17 15:22:55 - 50.112.22.225:   Software installation finished.
2012/02/17 15:22:55 - 50.112.22.225:   Sending ~/node_health_script via SFTP.
2012/02/17 15:22:55 - 50.112.33.22:    Waiting for software to install.
2012/02/17 15:22:55 - 50.112.16.60:    Waiting for software to install.
2012/02/17 15:22:55 - 50.112.34.179:   Waiting for software to install.
2012/02/17 15:22:56 - 50.112.22.225:   Copying ~/node_health_script to desitnation.
2012/02/17 15:22:56 - 50.112.22.225:   Checking file contents.
2012/02/17 15:22:57 - 50.112.22.225:   Remote file contents confirmed.
2012/02/17 15:22:57 - 50.112.22.225:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/02/17 15:22:57 - 50.112.22.225:   Completed check of node 50.112.22.225.
2012/02/17 15:23:00 - 50.112.48.31:    Waiting for software to install.
2012/02/17 15:23:04 - 50.112.49.228:   Waiting for software to install.
2012/02/17 15:23:05 - 50.112.56.107:   Software installation finished.
2012/02/17 15:23:05 - 50.112.56.107:   Sending ~/node_health_script via SFTP.
2012/02/17 15:23:05 - 50.112.21.152:   Software installation finished.
2012/02/17 15:23:05 - 50.112.21.152:   Sending ~/node_health_script via SFTP.
2012/02/17 15:23:05 - 50.112.47.92:    Software installation finished.
2012/02/17 15:23:05 - 50.112.47.92:    Sending ~/node_health_script via SFTP.
2012/02/17 15:23:05 - 50.112.51.122:   Waiting for software to install.
2012/02/17 15:23:05 - 50.112.6.179:    Software installation finished.
2012/02/17 15:23:05 - 50.112.6.179:    Sending ~/node_health_script via SFTP.
2012/02/17 15:23:05 - 50.112.56.107:   Copying ~/node_health_script to desitnation.
2012/02/17 15:23:05 - 50.112.21.152:   Copying ~/node_health_script to desitnation.
2012/02/17 15:23:05 - 50.112.33.22:    Software installation finished.
2012/02/17 15:23:05 - 50.112.33.22:    Sending ~/node_health_script via SFTP.
2012/02/17 15:23:05 - 50.112.47.92:    Copying ~/node_health_script to desitnation.
2012/02/17 15:23:05 - 50.112.16.60:    Waiting for software to install.
2012/02/17 15:23:05 - 50.112.56.107:   Checking file contents.
2012/02/17 15:23:06 - 50.112.21.152:   Checking file contents.
2012/02/17 15:23:06 - 50.112.47.92:    Checking file contents.
2012/02/17 15:23:06 - 50.112.6.179:    Copying ~/node_health_script to desitnation.
2012/02/17 15:23:06 - 50.112.34.179:   Waiting for software to install.
2012/02/17 15:23:06 - 50.112.56.107:   Remote file contents confirmed.
2012/02/17 15:23:06 - 50.112.21.152:   Remote file contents confirmed.
2012/02/17 15:23:06 - 50.112.6.179:    Checking file contents.
2012/02/17 15:23:06 - 50.112.47.92:    Remote file contents confirmed.
2012/02/17 15:23:06 - 50.112.6.179:    Remote file contents confirmed.
2012/02/17 15:23:07 - 50.112.56.107:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/02/17 15:23:07 - 50.112.56.107:   Completed check of node 50.112.56.107.
2012/02/17 15:23:07 - 50.112.21.152:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/02/17 15:23:07 - 50.112.21.152:   Completed check of node 50.112.21.152.
2012/02/17 15:23:07 - 50.112.33.22:    Copying ~/node_health_script to desitnation.
2012/02/17 15:23:07 - 50.112.6.179:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/02/17 15:23:07 - 50.112.6.179:    Completed check of node 50.112.6.179.
2012/02/17 15:23:07 - 50.112.47.92:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/02/17 15:23:07 - 50.112.33.22:    Checking file contents.
2012/02/17 15:23:07 - 50.112.47.92:    Completed check of node 50.112.47.92.
2012/02/17 15:23:08 - 50.112.33.22:    Remote file contents confirmed.
2012/02/17 15:23:09 - 50.112.33.22:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/02/17 15:23:09 - 50.112.33.22:    Completed check of node 50.112.33.22.
2012/02/17 15:23:11 - 50.112.48.31:    Waiting for software to install.
2012/02/17 15:23:14 - 50.112.49.228:   Software installation finished.
2012/02/17 15:23:14 - 50.112.49.228:   Sending ~/node_health_script via SFTP.
2012/02/17 15:23:15 - 50.112.49.228:   Copying ~/node_health_script to desitnation.
2012/02/17 15:23:15 - 50.112.51.122:   Software installation finished.
2012/02/17 15:23:15 - 50.112.51.122:   Sending ~/node_health_script via SFTP.
2012/02/17 15:23:15 - 50.112.49.228:   Checking file contents.
2012/02/17 15:23:16 - 50.112.49.228:   Remote file contents confirmed.
2012/02/17 15:23:16 - 50.112.51.122:   Copying ~/node_health_script to desitnation.
2012/02/17 15:23:16 - 50.112.16.60:    Software installation finished.
2012/02/17 15:23:16 - 50.112.16.60:    Sending ~/node_health_script via SFTP.
2012/02/17 15:23:16 - 50.112.34.179:   Waiting for software to install.
2012/02/17 15:23:16 - 50.112.51.122:   Checking file contents.
2012/02/17 15:23:16 - 50.112.51.122:   Remote file contents confirmed.
2012/02/17 15:23:16 - 50.112.49.228:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/02/17 15:23:16 - 50.112.49.228:   Completed check of node 50.112.49.228.
2012/02/17 15:23:16 - 50.112.16.60:    Copying ~/node_health_script to desitnation.
2012/02/17 15:23:17 - 50.112.16.60:    Checking file contents.
2012/02/17 15:23:17 - 50.112.16.60:    Remote file contents confirmed.
2012/02/17 15:23:17 - 50.112.51.122:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/02/17 15:23:17 - 50.112.51.122:   Completed check of node 50.112.51.122.
2012/02/17 15:23:18 - 50.112.16.60:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/02/17 15:23:18 - 50.112.16.60:    Completed check of node 50.112.16.60.
2012/02/17 15:23:21 - 50.112.48.31:    Waiting for software to install.
2012/02/17 15:23:26 - 50.112.34.179:   Software installation finished.
2012/02/17 15:23:26 - 50.112.34.179:   Sending ~/node_health_script via SFTP.
2012/02/17 15:23:27 - 50.112.34.179:   Copying ~/node_health_script to desitnation.
2012/02/17 15:23:27 - 50.112.34.179:   Checking file contents.
2012/02/17 15:23:27 - 50.112.34.179:   Remote file contents confirmed.
2012/02/17 15:23:28 - 50.112.34.179:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/02/17 15:23:28 - 50.112.34.179:   Completed check of node 50.112.34.179.
2012/02/17 15:23:31 - 50.112.48.31:    Software installation finished.
2012/02/17 15:23:31 - 50.112.48.31:    Sending ~/node_health_script via SFTP.
2012/02/17 15:23:32 - 50.112.48.31:    Copying ~/node_health_script to desitnation.
2012/02/17 15:23:32 - 50.112.48.31:    Checking file contents.
2012/02/17 15:23:32 - 50.112.48.31:    Remote file contents confirmed.
2012/02/17 15:23:33 - 50.112.48.31:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/02/17 15:23:33 - 50.112.48.31:    Completed check of node 50.112.48.31.
2012/02/17 15:23:33 - Determining availability zone.
2012/02/17 15:23:33 - Gathering public and private ip addresses.
2012/02/17 15:23:33 - Connecting to node 50.112.56.107 for cluster configuration.
2012/02/17 15:23:33 - Connecting via SSH.
2012/02/17 15:23:35 - Checking software installation completed.
2012/02/17 15:23:35 - Software installation finished.
2012/02/17 15:23:35 - Sending ~/node_health_script via SFTP.
2012/02/17 15:23:36 - Copying ~/node_health_script to desitnation.
2012/02/17 15:23:36 - Checking file contents.
2012/02/17 15:23:36 - Remote file contents confirmed.
2012/02/17 15:23:37 - No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/02/17 15:23:37 - Writing cluster private ip addresses to file on instance.
2012/02/17 15:23:37 - Sending /etc/HPCCSystems/source/ips.txt via SFTP.
2012/02/17 15:23:38 - Copying /etc/HPCCSystems/source/ips.txt to desitnation.
2012/02/17 15:23:38 - Checking file contents.
2012/02/17 15:23:38 - Remote file contents confirmed.
2012/02/17 15:23:38 - Running envgen
2012/02/17 15:23:39 - Reading the config file.
2012/02/17 15:23:40 - Retrieving IP address of ESP Server.
2012/02/17 15:23:40 - ESP Server private IP address: 10.252.19.242.
2012/02/17 15:23:40 - ESP Server public IP address: 50.112.56.107.
2012/02/17 15:23:40 - 50.112.56.107:   Starting node configuration.
2012/02/17 15:23:40 - 50.112.56.107:   Connecting via SSH.
2012/02/17 15:23:40 - 50.112.34.179:   Starting node configuration.
2012/02/17 15:23:40 - 50.112.34.179:   Connecting via SSH.
2012/02/17 15:23:40 - 50.112.22.225:   Starting node configuration.
2012/02/17 15:23:40 - 50.112.6.179:    Starting node configuration.
2012/02/17 15:23:40 - 50.112.22.225:   Connecting via SSH.
2012/02/17 15:23:40 - 50.112.6.179:    Connecting via SSH.
2012/02/17 15:23:40 - 50.112.21.152:   Starting node configuration.
2012/02/17 15:23:40 - 50.112.21.152:   Connecting via SSH.
2012/02/17 15:23:40 - 50.112.48.31:    Starting node configuration.
2012/02/17 15:23:40 - 50.112.16.60:    Starting node configuration.
2012/02/17 15:23:40 - 50.112.48.31:    Connecting via SSH.
2012/02/17 15:23:40 - 50.112.16.60:    Connecting via SSH.
2012/02/17 15:23:40 - 50.112.49.228:   Starting node configuration.
2012/02/17 15:23:40 - 50.112.49.228:   Connecting via SSH.
2012/02/17 15:23:40 - 50.112.51.122:   Starting node configuration.
2012/02/17 15:23:40 - 50.112.51.122:   Connecting via SSH.
2012/02/17 15:23:40 - 50.112.47.92:    Starting node configuration.
2012/02/17 15:23:40 - 50.112.47.92:    Connecting via SSH.
2012/02/17 15:23:40 - 50.112.33.22:    Starting node configuration.
2012/02/17 15:23:40 - 50.112.33.22:    Connecting via SSH.
2012/02/17 15:23:42 - 50.112.49.228:   Checking software installation completed.
2012/02/17 15:23:42 - 50.112.6.179:    Checking software installation completed.
2012/02/17 15:23:42 - 50.112.56.107:   Checking software installation completed.
2012/02/17 15:23:42 - 50.112.34.179:   Checking software installation completed.
2012/02/17 15:23:42 - 50.112.21.152:   Checking software installation completed.
2012/02/17 15:23:42 - 50.112.16.60:    Checking software installation completed.
2012/02/17 15:23:42 - 50.112.33.22:    Checking software installation completed.
2012/02/17 15:23:42 - 50.112.22.225:   Checking software installation completed.
2012/02/17 15:23:42 - 50.112.47.92:    Checking software installation completed.
2012/02/17 15:23:42 - 50.112.48.31:    Checking software installation completed.
2012/02/17 15:23:42 - 50.112.49.228:   Software installation finished.
2012/02/17 15:23:42 - 50.112.49.228:   Sending ~/node_health_script via SFTP.
2012/02/17 15:23:42 - 50.112.51.122:   Checking software installation completed.
2012/02/17 15:23:42 - 50.112.6.179:    Software installation finished.
2012/02/17 15:23:42 - 50.112.6.179:    Sending ~/node_health_script via SFTP.
2012/02/17 15:23:42 - 50.112.56.107:   Software installation finished.
2012/02/17 15:23:42 - 50.112.56.107:   Sending ~/node_health_script via SFTP.
2012/02/17 15:23:42 - 50.112.21.152:   Software installation finished.
2012/02/17 15:23:42 - 50.112.21.152:   Sending ~/node_health_script via SFTP.
2012/02/17 15:23:42 - 50.112.34.179:   Software installation finished.
2012/02/17 15:23:42 - 50.112.34.179:   Sending ~/node_health_script via SFTP.
2012/02/17 15:23:42 - 50.112.33.22:    Software installation finished.
2012/02/17 15:23:42 - 50.112.33.22:    Sending ~/node_health_script via SFTP.
2012/02/17 15:23:43 - 50.112.22.225:   Software installation finished.
2012/02/17 15:23:43 - 50.112.22.225:   Sending ~/node_health_script via SFTP.
2012/02/17 15:23:43 - 50.112.16.60:    Software installation finished.
2012/02/17 15:23:43 - 50.112.16.60:    Sending ~/node_health_script via SFTP.
2012/02/17 15:23:43 - 50.112.47.92:    Software installation finished.
2012/02/17 15:23:43 - 50.112.47.92:    Sending ~/node_health_script via SFTP.
2012/02/17 15:23:43 - 50.112.48.31:    Software installation finished.
2012/02/17 15:23:43 - 50.112.48.31:    Sending ~/node_health_script via SFTP.
2012/02/17 15:23:43 - 50.112.51.122:   Software installation finished.
2012/02/17 15:23:43 - 50.112.51.122:   Sending ~/node_health_script via SFTP.
2012/02/17 15:23:43 - 50.112.6.179:    Copying ~/node_health_script to desitnation.
2012/02/17 15:23:43 - 50.112.49.228:   Copying ~/node_health_script to desitnation.
2012/02/17 15:23:43 - 50.112.56.107:   Copying ~/node_health_script to desitnation.
2012/02/17 15:23:43 - 50.112.21.152:   Copying ~/node_health_script to desitnation.
2012/02/17 15:23:43 - 50.112.16.60:    Copying ~/node_health_script to desitnation.
2012/02/17 15:23:43 - 50.112.34.179:   Copying ~/node_health_script to desitnation.
2012/02/17 15:23:43 - 50.112.22.225:   Copying ~/node_health_script to desitnation.
2012/02/17 15:23:43 - 50.112.33.22:    Copying ~/node_health_script to desitnation.
2012/02/17 15:23:43 - 50.112.47.92:    Copying ~/node_health_script to desitnation.
2012/02/17 15:23:43 - 50.112.48.31:    Copying ~/node_health_script to desitnation.
2012/02/17 15:23:43 - 50.112.51.122:   Copying ~/node_health_script to desitnation.
2012/02/17 15:23:43 - 50.112.6.179:    Checking file contents.
2012/02/17 15:23:43 - 50.112.49.228:   Checking file contents.
2012/02/17 15:23:43 - 50.112.56.107:   Checking file contents.
2012/02/17 15:23:43 - 50.112.21.152:   Checking file contents.
2012/02/17 15:23:43 - 50.112.22.225:   Checking file contents.
2012/02/17 15:23:43 - 50.112.33.22:    Checking file contents.
2012/02/17 15:23:43 - 50.112.34.179:   Checking file contents.
2012/02/17 15:23:43 - 50.112.16.60:    Checking file contents.
2012/02/17 15:23:44 - 50.112.47.92:    Checking file contents.
2012/02/17 15:23:44 - 50.112.48.31:    Checking file contents.
2012/02/17 15:23:44 - 50.112.51.122:   Checking file contents.
2012/02/17 15:23:44 - 50.112.6.179:    Remote file contents confirmed.
2012/02/17 15:23:44 - 50.112.49.228:   Remote file contents confirmed.
2012/02/17 15:23:44 - 50.112.56.107:   Remote file contents confirmed.
2012/02/17 15:23:44 - 50.112.21.152:   Remote file contents confirmed.
2012/02/17 15:23:44 - 50.112.34.179:   Remote file contents confirmed.
2012/02/17 15:23:44 - 50.112.33.22:    Remote file contents confirmed.
2012/02/17 15:23:44 - 50.112.22.225:   Remote file contents confirmed.
2012/02/17 15:23:44 - 50.112.16.60:    Remote file contents confirmed.
2012/02/17 15:23:44 - 50.112.47.92:    Remote file contents confirmed.
2012/02/17 15:23:44 - 50.112.48.31:    Remote file contents confirmed.
2012/02/17 15:23:44 - 50.112.51.122:   Remote file contents confirmed.
