2012/02/10 17:16:11 - Connecting to AWS region us-west-2.
2012/02/10 17:16:11 - Calculating new unique cluster name for request 121.
2012/02/10 17:16:13 - Creating new cluster name, Thor-K93V.
2012/02/10 17:16:13 - Creating Thor-K93V security group.
2012/02/10 17:16:17 - Creating Thor-K93V key pair.
2012/02/10 17:16:17 - Launching 5 m1.large nodes using ami-1c78f52c.
2012/02/10 17:16:18 - Reservation ID r-44420774 created.
2012/02/10 17:16:18 - Waiting for 5 of 5 nodes to launch.
2012/02/10 17:16:25 - Waiting for 5 of 5 nodes to launch.
2012/02/10 17:16:31 - Waiting for 5 of 5 nodes to launch.
2012/02/10 17:16:37 - Waiting for 5 of 5 nodes to launch.
2012/02/10 17:16:44 - Waiting for 5 of 5 nodes to launch.
2012/02/10 17:16:50 - Waiting for 5 of 5 nodes to launch.
2012/02/10 17:16:56 - Waiting for 5 of 5 nodes to launch.
2012/02/10 17:17:03 - Waiting for 5 of 5 nodes to launch.
2012/02/10 17:17:09 - Waiting for 2 of 5 nodes to launch.
2012/02/10 17:17:14 - Pending instances have completed.
2012/02/10 17:17:14 - Checking each node launched properly.
2012/02/10 17:19:08 - 50.112.40.126:   Waiting for software to install.
2012/02/10 17:19:12 - 50.112.43.129:   Waiting for software to install.
2012/02/10 17:19:14 - 50.112.50.153:   Waiting for software to install.
2012/02/10 17:19:15 - 50.112.18.70:    Waiting for software to install.
2012/02/10 17:19:15 - 50.112.46.132:   Waiting for software to install.
2012/02/10 17:19:19 - 50.112.40.126:   Waiting for software to install.
2012/02/10 17:19:22 - 50.112.43.129:   Waiting for software to install.
2012/02/10 17:19:24 - 50.112.50.153:   Waiting for software to install.
2012/02/10 17:19:25 - 50.112.18.70:    Waiting for software to install.
2012/02/10 17:19:26 - 50.112.46.132:   Waiting for software to install.
2012/02/10 17:19:29 - 50.112.40.126:   Waiting for software to install.
2012/02/10 17:19:33 - 50.112.43.129:   Waiting for software to install.
2012/02/10 17:19:34 - 50.112.50.153:   Waiting for software to install.
2012/02/10 17:19:36 - 50.112.18.70:    Waiting for software to install.
2012/02/10 17:19:36 - 50.112.46.132:   Waiting for software to install.
2012/02/10 17:19:39 - 50.112.40.126:   Waiting for software to install.
2012/02/10 17:19:43 - 50.112.43.129:   Waiting for software to install.
2012/02/10 17:19:45 - 50.112.50.153:   Waiting for software to install.
2012/02/10 17:19:46 - 50.112.46.132:   Waiting for software to install.
2012/02/10 17:19:46 - 50.112.18.70:    Waiting for software to install.
2012/02/10 17:19:50 - 50.112.40.126:   Waiting for software to install.
2012/02/10 17:19:53 - 50.112.43.129:   Waiting for software to install.
2012/02/10 17:19:55 - 50.112.50.153:   Waiting for software to install.
2012/02/10 17:19:57 - 50.112.46.132:   Waiting for software to install.
2012/02/10 17:19:57 - 50.112.18.70:    Waiting for software to install.
2012/02/10 17:20:00 - 50.112.40.126:   Waiting for software to install.
2012/02/10 17:20:04 - 50.112.43.129:   Waiting for software to install.
2012/02/10 17:20:05 - 50.112.50.153:   Waiting for software to install.
2012/02/10 17:20:07 - 50.112.46.132:   Waiting for software to install.
2012/02/10 17:20:07 - 50.112.18.70:    Waiting for software to install.
2012/02/10 17:20:10 - 50.112.40.126:   Waiting for software to install.
2012/02/10 17:20:14 - 50.112.43.129:   Waiting for software to install.
2012/02/10 17:20:16 - 50.112.50.153:   Waiting for software to install.
2012/02/10 17:20:17 - 50.112.46.132:   Waiting for software to install.
2012/02/10 17:20:18 - 50.112.18.70:    Waiting for software to install.
2012/02/10 17:20:21 - 50.112.40.126:   Waiting for software to install.
2012/02/10 17:20:24 - 50.112.43.129:   Waiting for software to install.
2012/02/10 17:20:26 - 50.112.50.153:   Waiting for software to install.
2012/02/10 17:20:28 - 50.112.46.132:   Waiting for software to install.
2012/02/10 17:20:28 - 50.112.18.70:    Waiting for software to install.
2012/02/10 17:20:31 - 50.112.40.126:   Waiting for software to install.
2012/02/10 17:20:35 - 50.112.43.129:   Waiting for software to install.
2012/02/10 17:20:37 - 50.112.50.153:   Waiting for software to install.
2012/02/10 17:20:38 - 50.112.46.132:   Waiting for software to install.
2012/02/10 17:20:38 - 50.112.18.70:    Waiting for software to install.
2012/02/10 17:20:41 - 50.112.40.126:   Waiting for software to install.
2012/02/10 17:20:45 - 50.112.43.129:   Waiting for software to install.
2012/02/10 17:20:47 - 50.112.50.153:   Waiting for software to install.
2012/02/10 17:20:48 - 50.112.46.132:   Waiting for software to install.
2012/02/10 17:20:49 - 50.112.18.70:    Waiting for software to install.
