2012/10/26 11:42:07 - Connecting to AWS region us-west-2.
2012/10/26 11:42:07 - Calculating new unique cluster name for request 370.
2012/10/26 11:42:08 - Creating new cluster name, Hpcc-G8ZR.
2012/10/26 11:42:08 - Creating Hpcc-G8ZR security group.
2012/10/26 11:42:12 - Creating Hpcc-G8ZR key pair.
2012/10/26 11:42:13 - Launching 20 m1.large nodes using ami-bcd4588c.
2012/10/26 11:42:14 - Reservation ID r-d7cf89e4 created.
2012/10/26 11:42:14 - Waiting for 20 of 20 nodes to launch.
2012/10/26 11:42:25 - Waiting for 20 of 20 nodes to launch.
2012/10/26 11:42:35 - Waiting for 20 of 20 nodes to launch.
2012/10/26 11:42:45 - Waiting for 20 of 20 nodes to launch.
2012/10/26 11:42:56 - Waiting for 20 of 20 nodes to launch.
2012/10/26 11:43:06 - Waiting for 20 of 20 nodes to launch.
2012/10/26 11:43:17 - Waiting for 14 of 20 nodes to launch.
2012/10/26 11:43:26 - Waiting for 10 of 20 nodes to launch.
2012/10/26 11:43:34 - Waiting for 4 of 20 nodes to launch.
2012/10/26 11:43:40 - Pending instances have completed.
2012/10/26 11:43:40 - Checking each node launched properly.
2012/10/26 11:43:44 - 50.112.25.239:   Software installation finished.
2012/10/26 11:43:44 - 50.112.25.239:   Sending /home/ubuntu/node_health_script via SFTP.
2012/10/26 11:43:44 - 54.245.10.56:    Software installation finished.
2012/10/26 11:43:44 - 54.245.10.56:    Sending /home/ubuntu/node_health_script via SFTP.
2012/10/26 11:43:44 - 54.245.5.95:     Software installation finished.
2012/10/26 11:43:44 - 54.245.5.95:     Sending /home/ubuntu/node_health_script via SFTP.
2012/10/26 11:43:44 - 50.112.71.221:   Software installation finished.
2012/10/26 11:43:44 - 50.112.71.221:   Sending /home/ubuntu/node_health_script via SFTP.
2012/10/26 11:43:44 - 50.112.64.130:   Waiting for software to install.
2012/10/26 11:43:44 - 50.112.210.56:   Software installation finished.
2012/10/26 11:43:44 - 50.112.210.56:   Sending /home/ubuntu/node_health_script via SFTP.
2012/10/26 11:43:44 - 50.112.88.238:   Software installation finished.
2012/10/26 11:43:44 - 50.112.88.238:   Sending /home/ubuntu/node_health_script via SFTP.
2012/10/26 11:43:44 - 50.112.225.182:  Software installation finished.
